State - Time (s), State - Stage, State - PX (m), State - PY (m), State - PZ (m), State - VX (m/s), State - VY (m/s), State - VZ (m/s), State - AX (m/s/s), State - AY (m/s/s), State - AZ (m/s/s), MAX-M10S - Lat, MAX-M10S - Lon, MAX-M10S - Alt (m), MAX-M10S - Disp X (m), MAX-M10S - Disp Y (m), MAX-M10S - Disp Z (m), MAX-M10S - Fix Quality, MAX-M10S - Time of Day, BMI088andLIS3MDL - AccX (m/s^2), BMI088andLIS3MDL - AccY (m/s^2), BMI088andLIS3MDL - AccZ (m/s^2), BMI088andLIS3MDL - GyroX (rad/s), BMI088andLIS3MDL - GyroY (rad/s), BMI088andLIS3MDL - GyroZ (rad/s), BMI088andLIS3MDL - MagX (uT), BMI088andLIS3MDL - MagY (uT), BMI088andLIS3MDL - MagZ (uT), BMI088andLIS3MDL - OriX, BMI088andLIS3MDL - OriY, BMI088andLIS3MDL - OriZ, BMI088andLIS3MDL - OriW, DPS310 - Pres (hPa), DPS310 - Temp (C), DPS310 - Alt ASL (m), DPS310 - Alt AGL (m), MS5611 - Pres (hPa), MS5611 - Temp (C), MS5611 - Alt ASL (m), MS5611 - Alt AGL (m)
        2353.592,             0, -0.022        , -0.088        , 0.059         , 0.041           , 0.032           , 0.173           , -0.026            , 0.065             , 0.026             ,     39.0824767, -75.8752763   ,              2.195, -0.020               , -0.070               , -0.211               ,                      9, 13:53:58              , 0.029                          , 0.237                          , 9.833                          , -0.036                          , 0.004                           , 0.185                           , 575.000                     , 1971.000                    , -14220.000                  , 0.007                  , -0.011                 , -0.549                 , 0.836                  ,            1026.043,            12.306, -105.912            , -0.030              ,            1026.090,            14.170, -106.295            , 0.222
        2353.643,             0, 0.025         , -0.071        , 0.065         , 0.086           , 0.030           , 0.189           , 0.064             , -0.000            , 0.137             ,     39.0824771, -75.8752764   ,              2.184, 0.031                , -0.074               , -0.219               ,                     10, 13:53:58              , 0.129                          , 0.330                          , 9.941                          , -0.051                          , 0.045                           , 0.006                           , 544.000                     , 1989.000                    , -14271.000                  , 0.009                  , -0.012                 , -0.549                 , 0.836                  ,            1026.043,            12.312, -105.911            , -0.026              ,            1026.080,            14.130, -106.212            , 0.313
        2353.694,             0, 0.063         , -0.053        , 0.070         , 0.107           , 0.055           , 0.201           , 0.052             , 0.045             , 0.137             ,     39.0824771, -75.8752764   ,              2.184, 0.032                , -0.066               , -0.202               ,                     10, 08:53:58              , 0.014                          , 0.352                          , 9.941                          , -0.102                          , 0.102                           , 0.096                           , 544.000                     , 1989.000                    , -14271.000                  , 0.011                  , -0.009                 , -0.547                 , 0.837                  ,            1026.045,            12.309, -105.923            , -0.035              ,            1026.150,            14.170, -106.789            , -0.256
        2353.745,             0, 0.088         , -0.052        , 0.085         , 0.072           , 0.008           , 0.163           , -0.017            , -0.047            , 0.048             ,     39.0824772, -75.8752766   ,              2.200, 0.044                , -0.074               , -0.169               ,                     10, 13:53:58              , 0.101                          , 0.251                          , 9.855                          , 0.075                           , 0.015                           , 0.156                           , 550.000                     , 1970.000                    , -14322.000                  , 0.010                  , -0.011                 , -0.543                 , 0.839                  ,            1026.042,            12.309, -105.901            , -0.011              ,            1026.130,            14.140, -106.625            , -0.066
        2353.796,             0, 0.092         , -0.060        , 0.092         , 0.052           , -0.013          , 0.173           , 0.004             , -0.023            , 0.107             ,     39.0824772, -75.8752766   ,              2.200, 0.046                , -0.066               , -0.150               ,                     10, 08:53:58              , 0.093                          , 0.294                          , 9.912                          , 0.036                           , 0.034                           , -0.017                          , 550.000                     , 1970.000                    , -14322.000                  , 0.011                  , -0.011                 , -0.544                 , 0.839                  ,            1026.042,            12.310, -105.901            , -0.005              ,            1026.140,            14.170, -106.707            , -0.247
        2353.847,             0, 0.062         , -0.056        , 0.095         , 0.024           , -0.021          , 0.149           , 0.003             , -0.020            , 0.063             ,     39.0824768, -75.8752764   ,              2.228, 0.002                , -0.038               , -0.098               ,                     10, 13:53:58              , 0.136                          , 0.251                          , 9.869                          , -0.075                          , -0.062                          , -0.170                          , 552.000                     , 2002.000                    , -14312.000                  , 0.008                  , -0.012                 , -0.547                 , 0.837                  ,            1026.043,            12.318, -105.909            , -0.004              ,            1026.120,            14.150, -106.542            , -0.074
        2353.898,             0, 0.049         , -0.050        , 0.118         , 0.051           , -0.010          , 0.182           , 0.055             , 0.002             , 0.115             ,     39.0824768, -75.8752764   ,              2.228, 0.004                , -0.031               , -0.081               ,                     10, 08:53:58              , 0.093                          , 0.316                          , 9.920                          , -0.087                          , 0.138                           , 0.158                           , 552.000                     , 2002.000                    , -14312.000                  , 0.009                  , -0.010                 , -0.544                 , 0.839                  ,            1026.040,            12.308, -105.884            , 0.027               ,            1026.210,            14.180, -107.283            , -0.807
        2353.949,             0, 0.033         , -0.037        , 0.146         , 0.050           , -0.029          , 0.140           , 0.031             , -0.036            , 0.028             ,     39.0824765, -75.8752762   ,              2.200, -0.027               , -0.007               , -0.092               ,                     10, 13:53:58              , 0.129                          , 0.294                          , 9.833                          , 0.011                           , 0.070                           , 0.034                           , 562.000                     , 2006.000                    , -14305.000                  , 0.010                  , -0.011                 , -0.543                 , 0.840                  ,            1026.037,            12.302, -105.855            , 0.058               ,            1026.130,            14.150, -106.625            , -0.074
        2354.000,             0, 0.032         , -0.029        , 0.158         , 0.062           , -0.017          , 0.165           , 0.039             , -0.002            , 0.101             ,     39.0824765, -75.8752762   ,              2.200, -0.020               , -0.002               , -0.069               ,                     10, 08:53:58              , 0.115                          , 0.323                          , 9.905                          , -0.058                          , 0.011                           , 0.070                           , 562.000                     , 2006.000                    , -14305.000                  , 0.010                  , -0.012                 , -0.542                 , 0.840                  ,            1026.037,            12.302, -105.855            , 0.062               ,            1026.080,            14.150, -106.212            , 0.280
        2354.051,             0, 0.007         , -0.011        , 0.084         , 0.050           , -0.012          , 0.130           , -0.039            , -0.034            , -0.023            ,     39.0824765, -75.8752762   ,              2.200, -0.013               , 0.003                , -0.045               ,                     10, 03:53:58              , 0.158                          , 0.251                          , 9.783                          , 0.132                           , -0.068                          , -0.141                          , 544.000                     , 2021.000                    , -14322.000                  , 0.009                  , -0.014                 , -0.545                 , 0.839                  ,            1026.040,            12.304, -105.881            , 0.041               ,            1026.200,            14.190, -107.201            , -0.741
        2354.102,             0, -0.008        , 0.004         , 0.071         , 0.039           , -0.003          , 0.133           , -0.045            , 0.036             , 0.121             ,     39.0824763, -75.8752760   ,              2.209, -0.036               , 0.025                , -0.020               ,                     10, 13:53:58              , 0.093                          , 0.280                          , 9.927                          , 0.058                           , -0.100                          , 0.098                           , 544.000                     , 2021.000                    , -14322.000                  , 0.009                  , -0.014                 , -0.543                 , 0.840                  ,            1026.040,            12.297, -105.882            , 0.040               ,            1026.160,            14.140, -106.872            , -0.494
        2354.153,             0, -0.016        , 0.013         , 0.074         , 0.028           , 0.004           , 0.143           , -0.047            , 0.025             , 0.099             ,     39.0824763, -75.8752760   ,              2.209, -0.040               , 0.030                , -0.002               ,                     10, 08:53:58              , 0.072                          , 0.266                          , 9.905                          , 0.051                           , -0.021                          , 0.132                           , 571.000                     , 1992.000                    , -14304.000                  , 0.010                  , -0.013                 , -0.540                 , 0.842                  ,            1026.039,            12.297, -105.873            , 0.048               ,            1026.080,            14.170, -106.212            , 0.181
        2354.204,             0, -0.030        , 0.015         , 0.076         , 0.005           , 0.007           , 0.146           , -0.077            , 0.013             , 0.069             ,     39.0824761, -75.8752762   ,              2.220, -0.067               , 0.016                , 0.021                ,                     10, 13:53:59              , 0.065                          , 0.208                          , 9.876                          , 0.081                           , -0.079                          , -0.083                          , 571.000                     , 1992.000                    , -14304.000                  , 0.009                  , -0.012                 , -0.542                 , 0.841                  ,            1026.041,            12.297, -105.889            , 0.034               ,            1026.160,            14.150, -106.872            , -0.420
        2354.255,             0, -0.044        , 0.018         , 0.079         , -0.006          , 0.005           , 0.144           , -0.019            , -0.008            , 0.063             ,     39.0824761, -75.8752762   ,              2.220, -0.072               , 0.022                , 0.033                ,                     10, 08:53:59              , 0.093                          , 0.266                          , 9.869                          , 0.068                           , 0.026                           , -0.040                          , 512.000                     , 1984.000                    , -14332.000                  , 0.010                  , -0.012                 , -0.542                 , 0.840                  ,            1026.041,            12.302, -105.895            , 0.027               ,            1026.140,            14.180, -106.707            , -0.330
        2354.306,             0, -0.065        , 0.012         , 0.085         , -0.021          , 0.005           , 0.144           , -0.015            , 0.011             , 0.084             ,     39.0824759, -75.8752765   ,              2.186, -0.100               , -0.003               , 0.002                ,                     10, 13:53:59              , 0.072                          , 0.244                          , 9.891                          , -0.049                          , -0.021                          , 0.006                           , 512.000                     , 1984.000                    , -14332.000                  , 0.008                  , -0.011                 , -0.542                 , 0.840                  ,            1026.040,            12.301, -105.886            , 0.033               ,            1026.180,            14.170, -107.037            , -0.610
        2354.357,             0, -0.087        , -0.000        , 0.098         , -0.026          , -0.009          , 0.141           , 0.012             , -0.014            , 0.077             ,     39.0824758, -75.8752767   ,              2.190, -0.112               , -0.022               , 0.002                ,                     10, 13:53:59              , 0.093                          , 0.244                          , 9.884                          , -0.036                          , 0.064                           , 0.083                           , 570.000                     , 1979.000                    , -14318.000                  , 0.008                  , -0.010                 , -0.541                 , 0.841                  ,            1026.038,            12.302, -105.863            , 0.051               ,            1026.090,            14.150, -106.295            , 0.132
        2354.408,             0, -0.105        , -0.012        , 0.109         , -0.033          , -0.014          , 0.116           , -0.006            , -0.000            , 0.020             ,     39.0824758, -75.8752767   ,              2.190, -0.113               , -0.023               , -0.002               ,                     10, 08:53:59              , 0.093                          , 0.251                          , 9.826                          , 0.051                           , -0.047                          , 0.047                           , 570.000                     , 1979.000                    , -14318.000                  , 0.008                  , -0.011                 , -0.540                 , 0.842                  ,            1026.036,            12.302, -105.847            , 0.064               ,            1026.180,            14.150, -107.037            , -0.536
        2354.459,             0, -0.118        , -0.022        , 0.113         , -0.008          , -0.012          , 0.102           , 0.059             , 0.010             , 0.052             ,     39.0824757, -75.8752767   ,              2.145, -0.122               , -0.027               , -0.048               ,                     10, 13:53:59              , 0.108                          , 0.352                          , 9.855                          , -0.043                          , 0.045                           , 0.175                           , 544.000                     , 1987.000                    , -14285.000                  , 0.010                  , -0.012                 , -0.536                 , 0.844                  ,            1026.034,            12.314, -105.837            , 0.067               ,            1026.190,            14.150, -107.118            , -0.609
        2354.510,             0, -0.124        , -0.031        , 0.111         , -0.018          , -0.032          , 0.089           , -0.019            , -0.043            , 0.051             ,     39.0824757, -75.8752767   ,              2.145, -0.124               , -0.028               , -0.053               ,                     10, 08:53:59              , 0.187                          , 0.302                          , 9.855                          , 0.160                           , -0.068                          , 0.030                           , 544.000                     , 1987.000                    , -14285.000                  , 0.010                  , -0.016                 , -0.535                 , 0.845                  ,            1026.034,            12.311, -105.833            , 0.064               ,            1026.150,            14.170, -106.789            , -0.256
        2354.561,             0, -0.150        , -0.031        , 0.095         , -0.046          , -0.001          , 0.110           , -0.041            , 0.045             , 0.129             ,     39.0824754, -75.8752766   ,              2.102, -0.160               , -0.020               , -0.100               ,                     10, 13:53:59              , 0.065                          , 0.309                          , 9.934                          , 0.009                           , -0.047                          , -0.002                          , 525.000                     , 2009.000                    , -14359.000                  , 0.011                  , -0.014                 , -0.535                 , 0.844                  ,            1026.037,            12.308, -105.861            , 0.032               ,            1026.150,            14.170, -106.789            , -0.140
        2354.612,             0, -0.164        , -0.029        , 0.080         , -0.027          , -0.012          , 0.122           , 0.024             , -0.024            , 0.117             ,     39.0824754, -75.8752766   ,              2.102, -0.155               , -0.022               , -0.101               ,                     10, 08:53:59              , 0.158                          , 0.359                          , 9.920                          , 0.021                           , 0.055                           , -0.028                          , 525.000                     , 2009.000                    , -14359.000                  , 0.011                  , -0.015                 , -0.536                 , 0.844                  ,            1026.040,            12.308, -105.884            , 0.006               ,            1026.190,            14.170, -107.118            , -0.411
        2354.663,             0, -0.165        , -0.038        , 0.064         , -0.028          , 0.000           , 0.098           , -0.017            , 0.022             , 0.051             ,     39.0824754, -75.8752768   ,              2.118, -0.147               , -0.043               , -0.088               ,                      9, 13:53:59              , 0.057                          , 0.345                          , 9.855                          , 0.021                           , 0.023                           , -0.094                          , 547.000                     , 2007.000                    , -14272.000                  , 0.013                  , -0.013                 , -0.538                 , 0.843                  ,            1026.042,            12.321, -105.896            , -0.009              ,            1026.170,            14.160, -106.954            , -0.248
        2354.714,             0, -0.162        , -0.040        , 0.056         , -0.032          , 0.005           , 0.109           , -0.025            , 0.011             , 0.087             ,     39.0824754, -75.8752768   ,              2.118, -0.135               , -0.045               , -0.091               ,                      9, 08:53:59              , 0.050                          , 0.338                          , 9.891                          , 0.043                           , -0.011                          , -0.013                          , 547.000                     , 2007.000                    , -14272.000                  , 0.013                  , -0.013                 , -0.538                 , 0.843                  ,            1026.041,            12.317, -105.893            , -0.010              ,            1026.170,            14.180, -106.954            , -0.239
        2354.765,             0, -0.159        , -0.059        , 0.041         , -0.021          , -0.037          , 0.127           , -0.002            , -0.050            , 0.108             ,     39.0824753, -75.8752770   ,              2.016, -0.134               , -0.066               , -0.195               ,                     10, 13:53:59              , 0.144                          , 0.294                          , 9.912                          , -0.034                          , 0.030                           , -0.128                          , 523.000                     , 1978.000                    , -14258.000                  , 0.011                  , -0.013                 , -0.541                 , 0.841                  ,            1026.045,            12.318, -105.924            , -0.042              ,            1026.150,            14.150, -106.789            , -0.066
        2354.816,             0, -0.140        , -0.079        , 0.036         , 0.016           , -0.040          , 0.100           , 0.032             , -0.012            , 0.037             ,     39.0824753, -75.8752770   ,              2.016, -0.120               , -0.067               , -0.194               ,                     10, 08:53:59              , 0.122                          , 0.345                          , 9.841                          , -0.040                          , 0.045                           , -0.100                          , 523.000                     , 1978.000                    , -14258.000                  , 0.011                  , -0.013                 , -0.543                 , 0.840                  ,            1026.044,            12.321, -105.919            , -0.038              ,            1026.040,            14.170, -105.884            , 0.873
        2354.867,             0, -0.134        , -0.101        , 0.028         , -0.007          , -0.078          , 0.105           , -0.028            , -0.060            , 0.070             ,     39.0824751, -75.8752771   ,              1.987, -0.131               , -0.073               , -0.219               ,                     10, 13:53:59              , 0.165                          , 0.208                          , 9.876                          , -0.023                          , 0.045                           , 0.141                           , 516.000                     , 2017.000                    , -14289.000                  , 0.008                  , -0.012                 , -0.540                 , 0.842                  ,            1026.044,            12.322, -105.920            , -0.044              ,            1026.090,            14.130, -106.295            , 0.437
        2354.918,             0, -0.115        , -0.107        , 0.036         , 0.058           , -0.022          , 0.166           , 0.074             , 0.041             , 0.138             ,     39.0824751, -75.8752771   ,              1.987, -0.120               , -0.070               , -0.215               ,                     10, 08:53:59              , 0.086                          , 0.359                          , 9.941                          , -0.138                          , 0.049                           , 0.079                           , 516.000                     , 2017.000                    , -14289.000                  , 0.009                  , -0.011                 , -0.538                 , 0.843                  ,            1026.044,            12.322, -105.920            , -0.047              ,            1026.140,            14.170, -106.707            , -0.000
        2354.969,             0, -0.125        , -0.073        , 0.066         , 0.038           , -0.001          , 0.215           , 0.007             , -0.001            , 0.137             ,     39.0824745, -75.8752767   ,              2.082, -0.178               , -0.031               , -0.115               ,                     10, 13:53:59              , 0.086                          , 0.323                          , 9.941                          , 0.072                           , 0.026                           , -0.077                          , 520.000                     , 2014.000                    , -14335.000                  , 0.011                  , -0.012                 , -0.540                 , 0.842                  ,            1026.043,            12.313, -105.912            , -0.041              ,            1026.060,            14.130, -106.048            , 0.708
        2355.020,             0, -0.140        , -0.046        , 0.103         , -0.004          , 0.011           , 0.246           , -0.026            , 0.003             , 0.135             ,     39.0824745, -75.8752767   ,              2.082, -0.169               , -0.027               , -0.109               ,                     10, 08:53:59              , 0.086                          , 0.273                          , 9.941                          , 0.004                           , -0.058                          , 0.143                           , 520.000                     , 2014.000                    , -14335.000                  , 0.010                  , -0.012                 , -0.537                 , 0.844                  ,            1026.042,            12.300, -105.900            , -0.031              ,            1026.220,            14.180, -107.365            , -0.552
        2355.071,             0, -0.163        , -0.027        , 0.012         , -0.011          , 0.018           , 0.211           , 0.007             , -0.002            , 0.136             ,     39.0824743, -75.8752766   ,              2.117, -0.179               , -0.015               , -0.065               ,                     10, 13:53:59              , 0.101                          , 0.294                          , 9.941                          , -0.026                          , 0.019                           , 0.085                           , 493.000                     , 1965.000                    , -14318.000                  , 0.010                  , -0.012                 , -0.535                 , 0.845                  ,            1026.043,            12.312, -105.911            , -0.044              ,            1026.110,            14.150, -106.460            , 0.313
        2355.122,             0, -0.166        , -0.019        , -0.000        , -0.013          , 0.021           , 0.213           , -0.013            , 0.010             , 0.121             ,     39.0824743, -75.8752766   ,              2.117, -0.169               , -0.010               , -0.054               ,                     10, 08:53:59              , 0.057                          , 0.273                          , 9.927                          , -0.002                          , 0.019                           , -0.021                          , 493.000                     , 1965.000                    , -14318.000                  , 0.010                  , -0.011                 , -0.535                 , 0.844                  ,            1026.043,            12.312, -105.911            , -0.044              ,            1026.200,            14.160, -107.201            , -0.403
        2355.173,             0, -0.169        , -0.014        , 0.002         , -0.021          , 0.019           , 0.202           , -0.041            , -0.013            , 0.005             ,     39.0824742, -75.8752767   ,              2.171, -0.170               , -0.011               , 0.009                ,                     10, 13:54:00              , 0.079                          , 0.237                          , 9.812                          , 0.094                           , -0.040                          , -0.013                          , 533.000                     , 2000.000                    , -14305.000                  , 0.010                  , -0.011                 , -0.536                 , 0.844                  ,            1026.044,            12.307, -105.914            , -0.045              ,            1026.150,            14.150, -106.789            , 0.082
        2355.224,             0, -0.170        , -0.008        , 0.004         , -0.014          , 0.019           , 0.193           , 0.024             , -0.002            , 0.037             ,     39.0824742, -75.8752767   ,              2.171, -0.162               , -0.006               , 0.019                ,                     10, 08:54:00              , 0.129                          , 0.323                          , 9.841                          , 0.004                           , -0.034                          , 0.243                           , 533.000                     , 2000.000                    , -14305.000                  , 0.010                  , -0.013                 , -0.531                 , 0.847                  ,            1026.046,            12.316, -105.930            , -0.060              ,            1026.130,            14.160, -106.625            , 0.255
        2355.275,             0, -0.175        , -0.010        , 0.002         , -0.021          , 0.024           , 0.167           , -0.026            , 0.030             , 0.013             ,     39.0824740, -75.8752770   ,              2.095, -0.175               , -0.025               , -0.036               ,                     10, 13:54:00              , 0.079                          , 0.273                          , 9.819                          , -0.017                          , -0.079                          , -0.064                          , 539.000                     , 1990.000                    , -14317.000                  , 0.009                  , -0.013                 , -0.532                 , 0.847                  ,            1026.048,            12.319, -105.947            , -0.075              ,            1026.110,            14.180, -106.460            , 0.428
        2355.326,             0, -0.176        , -0.008        , 0.009         , -0.014          , 0.025           , 0.171           , 0.013             , 0.015             , 0.115             ,     39.0824740, -75.8752770   ,              2.095, -0.169               , -0.021               , -0.019               ,                     10, 08:54:00              , 0.079                          , 0.323                          , 9.920                          , 0.000                           , 0.049                           , 0.075                           , 539.000                     , 1990.000                    , -14317.000                  , 0.011                  , -0.012                 , -0.530                 , 0.848                  ,            1026.046,            12.319, -105.932            , -0.056              ,            1026.080,            14.150, -106.212            , 0.561
        2355.377,             0, -0.188        , -0.012        , 0.017         , -0.031          , 0.028           , 0.156           , -0.037            , 0.033             , 0.070             ,     39.0824737, -75.8752772   ,              2.059, -0.194               , -0.035               , -0.035               ,                     10, 13:54:00              , 0.029                          , 0.259                          , 9.876                          , -0.013                          , -0.070                          , 0.000                           , 552.000                     , 1950.000                    , -14312.000                  , 0.010                  , -0.011                 , -0.530                 , 0.848                  ,            1026.045,            12.314, -105.928            , -0.046              ,            1026.100,            14.140, -106.377            , 0.396
        2355.428,             0, -0.194        , -0.014        , 0.016         , -0.022          , 0.013           , 0.158           , 0.012             , -0.018            , 0.134             ,     39.0824737, -75.8752772   ,              2.059, -0.187               , -0.031               , -0.015               ,                     10, 08:54:00              , 0.122                          , 0.208                          , 9.941                          , -0.156                          , -0.006                          , 0.047                           , 552.000                     , 1950.000                    , -14312.000                  , 0.006                  , -0.010                 , -0.530                 , 0.848                  ,            1026.048,            12.310, -105.946            , -0.057              ,            1026.180,            14.170, -107.037            , -0.297
        2355.479,             0, -0.188        , -0.029        , 0.014         , -0.000          , 0.014           , 0.118           , 0.028             , 0.033             , 0.028             ,     39.0824737, -75.8752775   ,              2.024, -0.173               , -0.057               , -0.043               ,                      9, 13:54:00              , 0.072                          , 0.302                          , 9.833                          , 0.038                           , -0.013                          , -0.034                          , 508.000                     , 2015.000                    , -14277.000                  , 0.009                  , -0.011                 , -0.530                 , 0.848                  ,            1026.048,            12.312, -105.948            , -0.052              ,            1026.200,            14.180, -107.201            , -0.568
        2355.530,             0, -0.174        , -0.037        , 0.017         , 0.009           , 0.015           , 0.122           , 0.003             , 0.023             , 0.092             ,     39.0824737, -75.8752775   ,              2.024, -0.160               , -0.057               , -0.037               ,                      9, 08:54:00              , 0.057                          , 0.287                          , 9.898                          , -0.002                          , -0.015                          , 0.038                           , 508.000                     , 2015.000                    , -14277.000                  , 0.010                  , -0.011                 , -0.529                 , 0.848                  ,            1026.047,            12.312, -105.941            , -0.038              ,            1026.150,            14.180, -106.789            , -0.099
        2355.581,             0, -0.151        , -0.059        , 0.030         , 0.028           , 0.006           , 0.151           , 0.020             , 0.013             , 0.129             ,     39.0824738, -75.8752779   ,              2.002, -0.137               , -0.092               , -0.060               ,                      9, 13:54:00              , 0.079                          , 0.323                          , 9.934                          , 0.000                           , -0.021                          , -0.134                          , 527.000                     , 1949.000                    , -14264.000                  , 0.011                  , -0.012                 , -0.532                 , 0.846                  ,            1026.046,            12.322, -105.935            , -0.027              ,            1026.100,            14.150, -106.377            , 0.280
        2355.632,             0, -0.125        , -0.073        , 0.051         , 0.050           , 0.002           , 0.170           , 0.034             , 0.010             , 0.116             ,     39.0824738, -75.8752779   ,              2.002, -0.124               , -0.092               , -0.062               ,                      9, 08:54:00              , 0.129                          , 0.323                          , 9.920                          , -0.094                          , -0.070                          , 0.015                           , 527.000                     , 1949.000                    , -14264.000                  , 0.009                  , -0.013                 , -0.532                 , 0.847                  ,            1026.045,            12.313, -105.927            , -0.016              ,            1026.160,            14.180, -106.872            , -0.206
        2355.683,             0, -0.108        , -0.088        , 0.077         , 0.042           , -0.009          , 0.184           , -0.001            , -0.007            , 0.109             ,     39.0824737, -75.8752780   ,              1.951, -0.122               , -0.101               , -0.118               ,                      9, 13:54:00              , 0.172                          , 0.316                          , 9.912                          , 0.072                           , -0.079                          , -0.051                          , 546.000                     , 1988.000                    , -14295.000                  , 0.009                  , -0.016                 , -0.533                 , 0.846                  ,            1026.043,            12.313, -105.912            , 0.000               ,            1026.080,            14.140, -106.212            , 0.437
        2355.734,             0, -0.093        , -0.097        , 0.083         , 0.041           , -0.002          , 0.166           , 0.010             , 0.013             , 0.080             ,     39.0824737, -75.8752780   ,              1.951, -0.109               , -0.102               , -0.124               ,                      9, 08:54:00              , 0.108                          , 0.330                          , 9.884                          , -0.036                          , 0.092                           , 0.038                           , 546.000                     , 1988.000                    , -14295.000                  , 0.010                  , -0.013                 , -0.532                 , 0.846                  ,            1026.046,            12.310, -105.931            , -0.015              ,            1026.130,            14.150, -106.625            , -0.008
        2355.785,             0, -0.091        , -0.109        , 0.108         , 0.057           , -0.001          , 0.198           , 0.044             , 0.009             , 0.131             ,     39.0824734, -75.8752782   ,              1.862, -0.128               , -0.119               , -0.221               ,                      9, 13:54:00              , 0.079                          , 0.366                          , 9.934                          , -0.079                          , 0.113                           , -0.098                          , 540.000                     , 2007.000                    , -14306.000                  , 0.012                  , -0.012                 , -0.534                 , 0.845                  ,            1026.042,            12.310, -105.901            , 0.017               ,            1026.180,            14.150, -107.037            , -0.453
        2355.836,             0, -0.082        , -0.125        , 0.123         , 0.038           , -0.050          , 0.204           , -0.004            , -0.062            , 0.114             ,     39.0824734, -75.8752782   ,              1.862, -0.113               , -0.119               , -0.228               ,                      9, 08:54:00              , 0.180                          , 0.251                          , 9.920                          , -0.021                          , -0.006                          , -0.087                          , 540.000                     , 2007.000                    , -14306.000                  , 0.009                  , -0.013                 , -0.536                 , 0.844                  ,            1026.043,            12.323, -105.912            , 0.008               ,            1026.120,            14.170, -106.542            , 0.074
        2355.887,             0, -0.079        , -0.133        , 0.138         , 0.067           , -0.025          , 0.217           , 0.057             , 0.015             , 0.123             ,     39.0824732, -75.8752781   ,              1.758, -0.120               , -0.110               , -0.340               ,                      8, 13:54:00              , 0.122                          , 0.345                          , 9.927                          , -0.104                          , 0.049                           , -0.017                          , 528.000                     , 1962.000                    , -14289.000                  , 0.009                  , -0.012                 , -0.536                 , 0.844                  ,            1026.043,            12.308, -105.907            , 0.014               ,            1026.130,            14.150, -106.625            , -0.000
        2355.938,             0, -0.061        , -0.125        , 0.129         , 0.070           , 0.007           , 0.166           , 0.026             , 0.026             , 0.057             ,     39.0824732, -75.8752781   ,              1.758, -0.104               , -0.109               , -0.347               ,                      8, 08:54:00              , 0.101                          , 0.309                          , 9.862                          , -0.094                          , -0.028                          , 0.072                           , 528.000                     , 1962.000                    , -14289.000                  , 0.009                  , -0.012                 , -0.535                 , 0.845                  ,            1026.045,            12.307, -105.928            , -0.005              ,            1026.140,            14.170, -106.707            , -0.050
        2355.989,             0, -0.070        , -0.104        , 0.107         , 0.042           , 0.011           , 0.181           , 0.002             , -0.002            , 0.121             ,     39.0824729, -75.8752780   ,              1.702, -0.129               , -0.093               , -0.397               ,                      9, 13:54:00              , 0.108                          , 0.259                          , 9.927                          , -0.038                          , 0.023                           , 0.013                           , 522.000                     , 1988.000                    , -14281.000                  , 0.008                  , -0.011                 , -0.535                 , 0.845                  ,            1026.048,            12.316, -105.952            , -0.025              ,            1026.120,            14.140, -106.542            , 0.231
        2356.040,             0, -0.080        , -0.092        , 0.100         , 0.048           , 0.021           , 0.176           , 0.031             , 0.012             , 0.094             ,     39.0824728, -75.8752781   ,              1.698, -0.131               , -0.095               , -0.395               ,                      9, 13:54:00              , 0.122                          , 0.330                          , 9.898                          , 0.017                           , -0.023                          , 0.087                           , 522.000                     , 1988.000                    , -14281.000                  , 0.009                  , -0.013                 , -0.533                 , 0.846                  ,            1026.049,            12.316, -105.960            , -0.029              ,            1026.140,            14.150, -106.707            , 0.008
