rx_time_iso,Time - Seconds,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage
2026-03-03T14:57:47.353,11.476,1020.695,25.756,-61.764,-0.000,0.0,0.018,22.672
2026-03-03T14:57:47.845,11.968,1021.107,25.762,-65.176,0.003,0.0,-0.018,22.682
2026-03-03T14:57:48.345,12.468,1020.926,25.766,-63.677,0.003,0.0,-0.013,22.675
2026-03-03T14:57:48.845,12.968,1020.896,25.759,-63.431,0.003,0.0,-0.017,22.677
2026-03-03T14:57:49.345,13.468,1020.831,25.760,-62.891,0.003,0.0,-0.041,22.677
2026-03-03T14:57:49.845,13.968,1020.791,25.760,-62.558,0.003,0.0,0.016,22.698
2026-03-03T14:57:50.346,14.468,1020.945,25.771,-63.829,0.003,0.0,0.006,22.670
2026-03-03T14:57:50.845,14.968,1021.031,25.771,-64.548,0.003,0.0,-0.006,22.693
2026-03-03T14:57:51.361,15.468,1021.006,25.782,-64.340,0.003,0.0,0.021,22.670
2026-03-03T14:57:51.846,15.968,1020.792,25.775,-62.570,0.003,0.0,0.009,22.661
2026-03-03T14:57:52.346,16.468,1020.702,25.774,-61.825,0.003,0.0,0.016,22.659
2026-03-03T14:57:52.844,16.968,1020.770,25.767,-62.385,0.003,0.0,0.006,22.682
2026-03-03T14:57:53.347,17.468,1020.973,25.780,-64.068,0.003,0.0,-0.006,22.656
2026-03-03T14:57:53.845,17.968,1020.639,25.778,-61.302,0.003,0.0,0.005,22.656
2026-03-03T14:57:54.345,18.468,992.600,25.772,173.257,16.153,44.3,-2.136,22.583
2026-03-03T14:57:54.844,18.968,992.194,25.763,176.694,16.347,44.9,-0.129,22.656
2026-03-03T14:57:55.345,19.468,992.089,25.763,177.583,16.380,45.0,0.004,22.650
2026-03-03T14:57:55.856,19.968,991.969,25.773,178.602,16.386,45.0,-0.025,22.647
2026-03-03T14:57:56.346,20.468,991.872,25.775,179.417,16.387,45.0,0.002,22.659
2026-03-03T14:57:56.862,20.968,992.190,25.778,176.729,16.388,45.0,-0.002,22.650
2026-03-03T14:57:57.345,21.468,992.437,25.790,174.641,16.388,45.0,0.017,22.663
2026-03-03T14:57:57.846,21.968,992.328,25.794,175.559,16.388,45.0,-0.004,22.682
2026-03-03T14:57:58.345,22.468,988.923,25.792,204.415,19.361,53.9,-39.173,22.147
2026-03-03T14:57:58.845,22.968,986.583,25.793,224.292,26.655,69.9,-0.421,22.638
2026-03-03T14:57:59.345,23.468,986.271,25.803,226.944,26.690,70.0,-0.094,22.654
2026-03-03T14:57:59.846,23.968,987.151,25.800,219.467,26.699,70.0,-0.051,22.643
2026-03-03T14:58:00.345,24.468,986.549,25.785,224.584,26.710,70.0,0.041,22.631
2026-03-03T14:58:00.848,24.971,986.407,25.802,225.793,32.913,79.8,-1.990,22.636
2026-03-03T14:58:01.357,25.474,985.920,25.803,229.931,33.032,80.0,-0.034,22.663
2026-03-03T14:58:01.854,25.977,986.815,25.812,222.318,33.043,80.0,-0.014,22.661
2026-03-03T14:58:02.358,26.480,986.242,25.814,227.195,33.048,80.0,0.079,22.659
2026-03-03T14:58:02.859,26.983,986.811,25.814,222.357,33.048,80.0,0.063,22.647
2026-03-03T14:58:03.365,27.486,986.253,25.798,227.102,33.048,80.0,0.029,22.663
2026-03-03T14:58:03.865,27.989,986.467,25.830,225.282,33.048,80.0,-0.028,22.652
2026-03-03T14:58:04.370,28.493,986.967,25.832,221.030,33.048,80.0,-0.007,22.656
2026-03-03T14:58:04.873,28.996,986.420,25.844,225.677,33.048,80.0,-0.023,22.668
2026-03-03T14:58:05.376,29.499,986.871,25.839,221.847,33.048,80.0,0.010,22.661
2026-03-03T14:58:05.878,30.002,986.457,25.842,225.361,33.048,80.0,0.019,22.675
2026-03-03T14:58:06.382,30.505,987.527,25.854,216.269,33.048,80.0,-0.069,22.670
2026-03-03T14:58:06.898,31.008,989.086,25.862,203.032,23.279,63.2,41.407,22.357
2026-03-03T14:58:07.389,31.511,1021.309,25.875,-66.840,9.960,22.4,-0.010,22.650
2026-03-03T14:58:07.891,32.013,1020.839,25.890,-62.958,9.960,22.4,0.001,22.652
2026-03-03T14:58:08.395,32.516,1020.531,25.874,-60.406,9.960,22.4,-0.016,22.640
2026-03-03T14:58:08.897,33.019,1021.171,25.893,-65.702,9.960,22.4,-0.022,22.650
2026-03-03T14:58:09.399,33.522,1020.451,25.881,-59.745,9.960,22.4,0.020,22.634
2026-03-03T14:58:09.904,34.025,1020.715,25.889,-61.927,9.960,22.4,-0.007,22.656
2026-03-03T14:58:10.404,34.528,1020.722,25.892,-61.985,9.960,22.4,-0.019,22.640
2026-03-03T14:58:10.908,35.031,1020.799,25.899,-62.626,9.960,22.4,0.009,22.663
2026-03-03T14:58:11.410,35.534,1020.883,25.908,-63.322,9.960,22.4,-0.004,22.670
2026-03-03T14:58:11.916,36.038,1020.780,25.898,-62.470,9.960,22.4,-0.011,22.650
2026-03-03T14:58:12.418,36.541,1020.760,25.898,-62.307,9.960,22.4,0.003,22.650
2026-03-03T14:58:12.921,37.044,1020.922,25.906,-63.645,9.960,22.4,-0.019,22.663
2026-03-03T14:58:13.429,37.547,1020.901,25.893,-63.472,9.960,22.4,0.016,22.677
2026-03-03T14:58:13.927,38.050,1020.876,25.892,-63.263,9.960,22.4,-0.006,22.668
2026-03-03T14:58:14.444,38.553,1020.851,25.894,-63.055,9.960,22.4,0.016,22.663
2026-03-03T14:58:14.932,39.056,1020.493,25.892,-60.094,9.960,22.4,0.017,22.675
2026-03-03T14:58:15.438,39.559,1020.843,25.896,-62.987,9.960,22.4,-0.019,22.650
2026-03-03T14:58:15.939,40.062,1020.893,25.894,-63.403,9.960,22.4,0.003,22.661
2026-03-03T14:58:16.442,40.565,1020.879,25.904,-63.287,9.960,22.4,0.009,22.668
2026-03-03T14:58:16.944,41.068,1020.742,25.918,-62.153,9.960,22.4,0.014,22.670
2026-03-03T14:58:17.449,41.571,1020.490,25.905,-60.066,9.960,22.4,0.002,22.663
2026-03-03T14:58:17.950,42.074,1020.960,25.908,-63.957,9.960,22.4,-0.004,22.666
2026-03-03T14:58:18.454,42.577,1020.685,25.927,-61.680,9.960,22.4,0.007,22.668
2026-03-03T14:58:18.956,43.080,1020.574,25.909,-60.767,9.960,22.4,0.010,22.668
2026-03-03T14:58:19.460,43.583,1020.795,25.924,-62.591,9.960,22.4,0.016,22.663
2026-03-03T14:58:19.961,44.086,1020.701,25.919,-61.813,9.960,22.4,0.024,22.661
2026-03-03T14:58:20.467,44.589,1021.207,25.912,-65.995,9.960,22.4,-0.004,22.643
2026-03-03T14:58:20.995,45.092,1021.139,25.925,-65.434,9.960,22.4,0.021,22.663
2026-03-03T14:58:21.474,45.595,1021.380,25.937,-67.432,9.960,22.4,-0.002,22.679
2026-03-03T14:58:21.991,46.098,1021.836,25.944,-71.195,9.960,22.4,0.001,22.663
2026-03-03T14:58:22.478,46.602,1021.989,25.930,-72.460,9.960,22.4,-0.014,22.666
2026-03-03T14:58:22.985,47.105,1022.194,25.942,-74.154,9.960,22.4,0.034,22.675
2026-03-03T14:58:23.485,47.608,1022.796,25.933,-79.129,9.960,22.4,-0.002,22.659
2026-03-03T14:58:23.989,48.111,1022.748,25.934,-78.736,9.960,22.4,0.015,22.666
2026-03-03T14:58:24.500,48.614,1022.934,25.939,-80.268,9.960,22.4,-0.021,22.659
2026-03-03T14:58:24.995,49.117,1022.980,25.933,-80.650,9.960,22.4,-0.006,22.654
2026-03-03T14:58:25.528,49.620,1023.289,25.937,-83.199,9.960,22.4,0.021,22.688
2026-03-03T14:58:26.000,50.123,1023.361,25.945,-83.792,9.960,22.4,0.009,22.675
2026-03-03T14:58:26.502,50.626,1023.739,25.944,-86.914,9.960,22.4,0.007,22.684
2026-03-03T14:58:27.007,51.129,1023.678,25.943,-86.412,9.960,22.4,0.013,22.686
2026-03-03T14:58:27.511,51.632,1023.827,25.941,-87.636,9.960,22.4,-0.010,22.670
2026-03-03T14:58:28.010,52.135,1024.229,25.945,-90.960,9.960,22.4,0.008,22.677
2026-03-03T14:58:28.515,52.638,1023.853,25.953,-87.854,9.960,22.4,0.018,22.668
2026-03-03T14:58:29.017,53.141,1024.058,25.948,-89.546,9.960,22.4,-0.014,22.670
2026-03-03T14:58:29.522,53.644,1024.130,25.953,-90.135,9.960,22.4,-0.005,22.672
2026-03-03T14:58:30.024,54.147,1024.035,25.956,-89.352,9.960,22.4,0.002,22.682
2026-03-03T14:58:30.527,54.650,1024.302,25.954,-91.561,9.960,22.4,0.001,22.668
2026-03-03T14:58:31.037,55.153,1024.193,25.966,-90.662,9.960,22.4,-0.012,22.663
2026-03-03T14:58:31.534,55.656,1024.332,25.962,-91.807,9.960,22.4,-0.000,22.666
2026-03-03T14:58:32.043,56.159,1024.506,25.961,-93.237,9.960,22.4,0.002,22.672
2026-03-03T14:58:32.540,56.663,1024.575,25.962,-93.808,9.960,22.4,-0.006,22.650
2026-03-03T14:58:33.067,57.166,1024.392,25.957,-92.303,9.960,22.4,0.005,22.666
2026-03-03T14:58:33.546,57.669,1024.509,25.961,-93.268,9.960,22.4,0.014,22.668
2026-03-03T14:58:34.049,58.172,1024.397,25.971,-92.345,9.960,22.4,0.020,22.670
2026-03-03T14:58:34.551,58.675,1024.643,25.976,-94.367,9.960,22.4,0.030,22.670
2026-03-03T14:58:35.055,59.178,1024.627,25.974,-94.235,9.960,22.4,0.005,22.670
2026-03-03T14:58:35.557,59.681,1024.745,25.993,-95.212,9.960,22.4,-0.012,22.659
2026-03-03T14:58:36.061,60.184,1024.718,25.973,-94.988,9.960,22.4,-0.013,22.672
2026-03-03T14:58:36.563,60.687,1024.672,25.977,-94.605,9.960,22.4,-0.022,22.668
2026-03-03T14:58:37.066,61.190,1024.865,25.989,-96.201,9.960,22.4,0.022,22.675
2026-03-03T14:58:37.569,61.693,1025.061,25.985,-97.814,9.960,22.4,0.004,22.675
2026-03-03T14:58:38.075,62.196,1024.877,25.989,-96.302,9.960,22.4,0.002,22.672
2026-03-03T14:58:38.596,62.699,1024.870,25.991,-96.241,9.960,22.4,-0.008,22.661
2026-03-03T14:58:39.078,63.202,1025.184,25.995,-98.830,9.960,22.4,-0.026,22.679
2026-03-03T14:58:39.582,63.705,1025.196,25.994,-98.929,9.960,22.4,0.019,22.677
2026-03-03T14:58:40.083,64.208,1025.035,25.990,-97.602,9.960,22.4,-0.010,22.672
