rx_time_iso,Time - Seconds,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage
2026-03-03T11:42:27.174,5.911,1029.264,23.543,-132.401,0.000,0.0,0.004,23.052
2026-03-03T11:42:27.666,6.402,1029.268,23.558,-132.437,0.003,0.0,0.001,23.081
2026-03-03T11:42:28.169,6.902,1029.266,23.555,-132.419,0.003,0.0,0.005,23.049
2026-03-03T11:42:28.665,7.402,1029.267,23.553,-132.433,0.003,0.0,0.008,23.059
2026-03-03T11:42:29.179,7.902,1029.268,23.570,-132.439,0.003,0.0,0.039,23.074
2026-03-03T11:42:29.665,8.403,1029.267,23.570,-132.431,0.003,0.0,0.032,23.088
2026-03-03T11:42:30.165,8.903,1029.264,23.568,-132.407,0.003,0.0,0.014,23.059
2026-03-03T11:42:30.665,9.403,1029.268,23.582,-132.434,0.003,0.0,0.022,23.063
2026-03-03T11:42:31.166,9.903,1029.267,23.580,-132.433,0.003,0.0,0.008,23.077
2026-03-03T11:42:31.665,10.403,1029.270,23.584,-132.451,0.003,0.0,0.001,23.049
2026-03-03T11:42:32.165,10.903,1029.270,23.583,-132.450,0.003,0.0,-0.017,23.065
2026-03-03T11:42:32.665,11.403,1029.268,23.579,-132.439,0.003,0.0,-0.001,23.072
2026-03-03T11:42:33.165,11.903,1029.269,23.576,-132.444,0.003,0.0,-0.008,23.059
2026-03-03T11:42:33.665,12.403,1029.268,23.575,-132.435,0.003,0.0,-0.015,23.072
2026-03-03T11:42:34.165,12.903,1029.268,23.587,-132.438,0.003,0.0,0.020,23.059
2026-03-03T11:42:34.666,13.403,1029.268,23.586,-132.437,0.003,0.0,-0.018,23.070
2026-03-03T11:42:35.165,13.903,1029.269,23.584,-132.444,0.003,0.0,0.021,23.072
2026-03-03T11:42:35.670,14.403,1029.266,23.580,-132.424,0.003,0.0,0.009,23.068
2026-03-03T11:42:36.165,14.903,1029.269,23.584,-132.443,0.003,0.0,0.008,23.063
2026-03-03T11:42:36.667,15.403,1029.266,23.575,-132.421,0.003,0.0,0.007,23.049
2026-03-03T11:42:37.165,15.903,1029.266,23.573,-132.419,0.003,0.0,-0.008,23.081
2026-03-03T11:42:37.669,16.407,1029.265,23.572,-132.411,0.003,0.0,-0.019,23.081
2026-03-03T11:42:38.172,16.910,1029.266,23.567,-132.422,0.003,0.0,0.025,23.072
2026-03-03T11:42:38.675,17.413,1029.266,23.581,-132.417,0.003,0.0,-0.027,23.045
2026-03-03T11:42:39.178,17.916,1029.266,23.576,-132.421,0.003,0.0,-0.038,23.070
2026-03-03T11:42:39.683,18.419,1029.266,23.564,-132.419,0.003,0.0,-0.002,23.072
2026-03-03T11:42:40.185,18.922,1029.266,23.569,-132.423,0.003,0.0,-0.023,23.072
2026-03-03T11:42:40.688,19.425,1029.265,23.558,-132.414,0.003,0.0,-0.007,23.059
2026-03-03T11:42:41.191,19.929,1029.264,23.565,-132.405,0.003,0.0,-0.027,23.068
2026-03-03T11:42:41.696,20.432,1029.264,23.563,-132.403,0.003,0.0,-0.009,23.072
2026-03-03T11:42:42.198,20.935,1029.266,23.565,-132.420,0.003,0.0,-0.002,23.077
2026-03-03T11:42:42.701,21.438,1029.264,23.563,-132.403,0.003,0.0,-0.028,23.061
