rx_time_iso,Time - Seconds,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage
2026-03-03T12:29:54.603,5.265,1028.669,20.380,-127.514,-0.000,0.0,0.002,23.022
2026-03-03T12:29:55.064,5.757,1028.666,20.387,-127.490,0.000,0.0,-0.023,23.036
2026-03-03T12:29:55.566,6.257,1028.670,20.399,-127.522,-0.000,0.0,0.000,23.017
2026-03-03T12:29:56.065,6.757,1028.671,20.413,-127.533,-0.000,0.0,-0.010,23.027
2026-03-03T12:29:56.566,7.257,1028.667,20.413,-127.503,-0.000,0.0,0.022,23.020
2026-03-03T12:29:57.064,7.757,1028.670,20.428,-127.523,-0.000,0.0,0.010,23.024
2026-03-03T12:29:57.564,8.257,1028.669,20.438,-127.516,-0.000,0.0,0.006,23.027
2026-03-03T12:29:58.064,8.757,1028.664,20.426,-127.474,-0.000,0.0,0.014,23.029
2026-03-03T12:29:58.567,9.257,1028.665,20.432,-127.480,-0.000,0.0,0.015,23.047
2026-03-03T12:29:59.064,9.757,1028.666,20.432,-127.488,0.000,0.0,-0.037,23.017
2026-03-03T12:29:59.565,10.257,1028.669,20.436,-127.514,0.000,0.0,-0.039,23.024
2026-03-03T12:30:00.075,10.757,1028.665,20.440,-127.479,-0.000,0.0,-0.012,23.029
2026-03-03T12:30:00.565,11.257,1028.663,20.440,-127.463,0.000,0.0,-0.004,23.029
2026-03-03T12:30:01.065,11.757,1028.666,20.443,-127.490,0.000,0.0,-0.011,23.022
2026-03-03T12:30:01.564,12.257,1028.666,20.445,-127.491,-0.000,0.0,0.021,23.020
2026-03-03T12:30:02.066,12.757,1028.669,20.446,-127.515,-0.000,0.0,0.020,23.033
2026-03-03T12:30:02.564,13.257,1028.670,20.448,-127.524,-0.000,0.0,0.001,23.024
2026-03-03T12:30:03.065,13.757,1028.662,20.447,-127.454,-0.000,0.0,0.020,23.036
2026-03-03T12:30:03.564,14.257,1028.661,20.463,-127.445,0.000,0.0,-0.018,23.013
2026-03-03T12:30:04.067,14.757,1028.661,20.470,-127.450,-0.000,0.0,0.007,23.027
2026-03-03T12:30:04.565,15.257,1028.666,20.465,-127.492,-0.000,0.0,-0.002,23.011
2026-03-03T12:30:05.071,15.760,1028.663,20.468,-127.463,0.000,0.0,-0.014,23.008
2026-03-03T12:30:05.576,16.264,1028.663,20.477,-127.463,0.000,0.0,-0.021,23.004
2026-03-03T12:30:06.076,16.767,1028.661,20.489,-127.450,0.000,0.0,-0.037,23.006
2026-03-03T12:30:06.578,17.270,1028.662,20.486,-127.455,0.000,0.0,-0.047,23.027
2026-03-03T12:30:07.081,17.773,1028.664,20.493,-127.476,-0.000,0.0,0.018,23.013
2026-03-03T12:30:07.586,18.276,1028.661,20.491,-127.445,0.000,0.0,-0.038,23.020
2026-03-03T12:30:08.086,18.779,1028.663,20.504,-127.463,-0.000,0.0,0.026,23.024
2026-03-03T12:30:08.590,19.282,1028.661,20.505,-127.448,-0.000,0.0,0.015,23.020
2026-03-03T12:30:09.092,19.785,1028.660,20.505,-127.441,-0.000,0.0,-0.011,23.033
2026-03-03T12:30:09.596,20.288,1028.661,20.516,-127.450,0.000,0.0,0.006,23.004
2026-03-03T12:30:10.099,20.791,1028.659,20.511,-127.430,-0.000,0.0,-0.009,23.017
2026-03-03T12:30:10.602,21.294,1028.657,20.502,-127.416,-0.000,0.0,0.018,23.011
2026-03-03T12:30:11.109,21.797,1028.657,20.513,-127.416,0.000,0.0,-0.037,23.040
2026-03-03T12:30:11.608,22.300,1028.657,20.517,-127.420,-0.000,0.0,0.037,23.020
2026-03-03T12:30:12.112,22.804,1028.658,20.516,-127.427,0.000,0.0,-0.000,23.024
