rx_time_iso,Time - Seconds,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage
2026-03-03T13:31:12.697,5.774,1026.742,14.982,-111.666,-0.000,0.0,0.044,22.869
2026-03-03T13:31:13.188,6.266,1026.731,14.986,-111.570,0.003,0.0,0.003,22.892
2026-03-03T13:31:13.687,6.766,1026.776,14.976,-111.945,0.003,0.0,0.010,22.887
2026-03-03T13:31:14.188,7.266,1026.732,14.992,-111.583,0.003,0.0,-0.003,22.867
2026-03-03T13:31:14.686,7.766,1026.754,14.991,-111.766,0.003,0.0,-0.014,22.887
2026-03-03T13:31:15.187,8.266,1026.737,14.999,-111.619,0.003,0.0,0.012,22.892
2026-03-03T13:31:15.687,8.766,1026.714,15.009,-111.436,0.003,0.0,0.012,22.896
2026-03-03T13:31:16.188,9.266,1026.708,14.998,-111.388,0.003,0.0,-0.018,22.883
2026-03-03T13:31:16.689,9.766,1026.693,15.000,-111.260,0.003,0.0,-0.029,22.878
2026-03-03T13:31:17.187,10.266,1026.696,15.005,-111.286,0.003,0.0,0.003,22.883
2026-03-03T13:31:17.703,10.766,1026.727,15.014,-111.540,0.003,0.0,0.005,22.880
2026-03-03T13:31:18.188,11.266,1026.724,15.013,-111.516,0.003,0.0,0.001,22.878
2026-03-03T13:31:18.688,11.766,1026.743,15.015,-111.671,0.003,0.0,0.010,22.880
2026-03-03T13:31:19.187,12.266,1026.755,15.020,-111.775,0.003,0.0,0.002,22.887
2026-03-03T13:31:19.688,12.766,1026.752,15.027,-111.743,0.003,0.0,0.019,22.883
2026-03-03T13:31:20.186,13.266,1026.712,15.032,-111.416,0.003,0.0,0.014,22.885
2026-03-03T13:31:20.688,13.766,1026.705,15.031,-111.362,0.003,0.0,0.020,22.901
2026-03-03T13:31:21.187,14.266,1026.690,15.040,-111.239,0.003,0.0,0.014,22.885
2026-03-03T13:31:21.689,14.766,1026.729,15.043,-111.556,0.003,0.0,-0.017,22.903
2026-03-03T13:31:22.186,15.266,1026.687,15.029,-111.214,0.003,0.0,0.001,22.892
2026-03-03T13:31:22.688,15.766,1026.704,15.036,-111.351,0.003,0.0,0.012,22.885
2026-03-03T13:31:23.193,16.268,1026.710,15.049,-111.400,0.003,0.0,-0.027,22.880
2026-03-03T13:31:23.694,16.772,1026.729,15.040,-111.554,0.003,0.0,0.016,22.899
2026-03-03T13:31:24.214,17.275,1026.719,15.048,-111.475,0.003,0.0,-0.007,22.889
2026-03-03T13:31:24.700,17.778,1026.709,15.051,-111.394,0.003,0.0,-0.013,22.880
2026-03-03T13:31:25.202,18.281,1026.753,15.056,-111.751,0.003,0.0,0.003,22.873
2026-03-03T13:31:25.706,18.784,1026.725,15.073,-111.527,0.003,0.0,0.005,22.873
2026-03-03T13:31:26.209,19.287,1026.716,15.059,-111.453,0.003,0.0,0.010,22.889
