State - Time (s),State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),DPS310 - Pres (hPa),DPS310 - Temp (C),DPS310 - Alt ASL (ft),DPS310 - Alt AGL (ft),MS5611 - Pres (hPa),MS5611 - Temp (C),MS5611 - Alt ASL (ft),MS5611 - Alt AGL (ft),BMI088andLIS3MDL - AccX,BMI088andLIS3MDL - AccY,BMI088andLIS3MDL - AccZ,BMI088andLIS3MDL - GyroX,BMI088andLIS3MDL - GyroY,BMI088andLIS3MDL - GyroZ,BMI088andLIS3MDL - MagX,BMI088andLIS3MDL - MagY,BMI088andLIS3MDL - MagZ,BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,VN_100 - VN-AX (m/s/s),VN_100 - VN-AY (m/s/s),VN_100 - VN-AZ (m/s/s),VN_100 - VN-ULRX (deg),VN_100 - VN-ULRY (deg),VN_100 - VN-ULRZ (deg),VN_100 - VN-ANGVX (rad/s),VN_100 - VN-ANGVY (rad/s),VN_100 - VN-ANGVZ (rad/s),VN_100 - VN-MAGX (uT),VN_100 - VN-MAGY (uT),VN_100 - VN-MAGZ (uT),VN_100 - VN-P (Pa),VN_100 - VN-T (C),VN_100 - VN-DT (s),VN_100 - VN-DV-X (m/s/s),VN_100 - VN-DV-Y (m/s/s),VN_100 - VN-DV-Z (m/s/s),VN_100 - VN-DTH-X (deg/s),VN_100 - VN-DTH-Y (deg/s),VN_100 - VN-DTH-Z (deg/s)
1203.579,-0.004,0.003,0.038,0.002,0.019,0.115,0.022,-0.074,0.074,1003.093,25.343,84.861,-0.041,1003.38,25.6,82.452,-0.378,-0.718,0.251,-9.855,0.058,-0.07,0.002,-2709,-2457,-3756,-0.877,0.478,0.041,0.009,38.3982882,-78.0637938,91.207,-0.01,-0.039,0.112,12,-0.541,0.094,-9.61,69.597,-3.061,-0.59,0.001,0,-0.001,12.506,-29.831,56.388,100401,28.5,0.099,-0.05,0.01,-0.948,0.038,0.032,-0.209
1208.579,0.105,-0.036,0.081,0.041,-0.07,0.133,-0.039,-0.058,0.014,1003.086,25.351,84.921,0.016,1003.35,25.61,82.704,-0.109,-0.754,0.316,-9.79,0.036,0.045,-0.06,-2770,-2465,-3783,-0.876,0.481,0.041,0.008,38.3982894,-78.0637946,92.274,0.059,-0.009,0.433,13,-0.52,0.109,-9.624,69.601,-3.064,-0.587,0,0.001,0.003,12.511,-29.732,56.143,100389.008,28.52,0.101,-0.053,0.01,-0.972,0.035,0.033,-0.205
1213.579,0.182,0.107,0.041,0.06,0.028,0.108,0.02,-0.055,0.081,1003.088,25.371,84.904,-0.02,1003.35,25.62,82.704,-0.226,-0.725,0.201,-9.862,0.053,-0.043,-0.043,-2698,-2490,-3805,-0.857,0.514,0.039,0.012,38.3982923,-78.0637941,93.074,0.151,0.052,0.292,10,-0.525,0.087,-9.631,69.574,-3.062,-0.579,0,0.001,0,12.747,-29.637,56.152,100398,28.55,0.099,-0.051,0.01,-0.949,0.033,0.032,-0.203
1218.579,0.061,0.084,0.073,-0.03,0.002,0.151,-0.042,-0.007,0.087,1003.086,25.396,84.917,-0.002,1003.29,25.63,83.207,0.344,-0.797,0.23,-9.862,0.083,0.011,0.032,-2737,-2449,-3759,-0.856,0.515,0.039,0.012,38.3982954,-78.0637915,94.254,0.063,0.076,0.06,12,-0.54,0.078,-9.589,69.553,-3.065,-0.587,0,0,-0.001,12.513,-29.841,56.275,100390.008,28.56,0.1,-0.052,0.01,-0.961,0.036,0.029,-0.215
1223.579,0.046,-0.04,0.051,0.013,0.049,0.113,0.047,0.016,0.065,1003.086,25.418,84.919,-0.008,1003.36,25.66,82.62,-0.285,-0.79,0.244,-9.841,-0.075,-0.013,0.036,-2754,-2433,-3763,-0.843,0.535,0.042,0.009,38.3982971,-78.0637906,94.759,0.031,-0.088,0.551,10,-0.521,0.102,-9.609,69.575,-3.066,-0.578,0,0.001,0,12.515,-29.843,56.405,100398,28.59,0.1,-0.052,0.011,-0.96,0.037,0.032,-0.208
1228.579,-0.071,0.034,0.08,0.019,0.044,0.168,0.057,0.012,0.089,1003.09,25.432,84.881,-0.003,1003.32,25.68,82.955,0.184,-0.74,0.223,-9.869,-0.102,0.015,-0.047,-2756,-2454,-3726,-0.843,0.536,0.04,0.008,38.3982954,-78.0637908,94.722,-0.064,0.003,-0.224,11,-0.509,0.087,-9.592,69.591,-3.062,-0.582,0,0,0,12.746,-29.954,56.28,100387,28.6,0.099,-0.051,0.01,-0.95,0.033,0.032,-0.202
1233.579,-0.021,-0.031,0.018,-0.049,-0.004,0.062,-0.054,-0.034,0.092,1003.091,25.44,84.879,0.016,1003.29,25.69,83.207,0.428,-0.74,0.323,-9.869,-0.03,0.009,0.079,-2749,-2468,-3753,-0.839,0.542,0.039,0.01,38.3982941,-78.0637906,94.491,-0.02,-0.012,0.272,12,-0.528,0.11,-9.626,69.581,-3.056,-0.581,-0.002,0.001,0.001,12.631,-30.057,56.026,100407.008,28.615,0.101,-0.052,0.01,-0.972,0.033,0.033,-0.209
1238.579,-0.064,0.016,0.021,-0.099,-0.01,0.042,-0.096,0.004,0.071,1003.095,25.459,84.842,-0.002,1003.4,25.71,82.284,-0.646,-0.869,0.215,-9.841,0.115,-0.045,-0.038,-2755,-2472,-3872,-0.827,0.56,0.038,0.018,38.3982935,-78.0637885,94.457,-0.016,0.047,0.029,12,-0.5,0.09,-9.61,69.593,-3.071,-0.581,-0.001,0,0,12.637,-29.854,56.037,100399,28.64,0.1,-0.052,0.01,-0.961,0.035,0.031,-0.21
1243.579,-0.011,0.006,0.068,-0.015,0.008,0.052,-0.031,0.053,-0.002,1003.095,25.486,84.845,0.028,1003.35,25.73,82.704,-0.1,-0.754,0.266,-9.776,0.026,0.151,-0.002,-2743,-2470,-3835,-0.851,0.524,0.037,0.007,38.3982925,-78.0637859,93.857,-0.026,0.017,-0.209,12,-0.521,0.106,-9.6,69.613,-3.061,-0.583,0,0,0,12.638,-29.96,55.912,100399,28.655,0.099,-0.052,0.01,-0.949,0.034,0.031,-0.205
1248.579,0.033,0.006,0.036,-0.05,0.117,0.048,-0.025,0.087,0.036,1003.092,25.499,84.864,0.012,1003.35,25.75,82.704,-0.511,-0.848,0.316,-9.805,-0.045,0.03,-0.089,-2728,-2454,-3800,-0.818,0.574,0.041,0.009,38.3982938,-78.063787,92.983,0.058,-0.084,-0.096,13,-0.521,0.122,-9.627,69.582,-3.056,-0.584,0,0,-0.001,12.639,-29.962,56.041,100396,28.68,0.1,-0.051,0.01,-0.961,0.034,0.031,-0.209
1253.579,-0.017,-0.084,0.076,0.03,-0.039,0.093,0.066,0.002,0.033,1003.086,25.523,84.92,0.037,1003.34,25.76,82.787,-0.285,-0.769,0.18,-9.812,-0.068,-0.013,-0.028,-2734,-2454,-3794,-0.829,0.558,0.04,0.012,38.3982937,-78.0637909,93.429,-0.033,-0.051,0.069,12,-0.486,0.091,-9.605,69.569,-3.059,-0.584,0,0,0,12.644,-29.863,56.051,100400,28.7,0.1,-0.051,0.01,-0.961,0.036,0.029,-0.211
1258.579,0.013,0.019,0.086,0.106,0.044,0.122,0.082,-0.036,0.068,1003.087,25.548,84.911,0.008,1003.31,25.77,83.039,0.042,-0.769,0.144,-9.848,0,-0.109,-0.113,-2744,-2467,-3784,-0.807,0.589,0.04,0.016,38.3982927,-78.0637926,93.751,-0.027,-0.034,0.016,13,-0.527,0.088,-9.606,69.578,-3.057,-0.579,0,0.001,0,12.528,-29.86,56.686,100392.008,28.72,0.1,-0.052,0.01,-0.961,0.038,0.029,-0.213
1263.579,-0.029,0.022,0.013,-0.022,0.007,0.009,-0.007,0.048,-0.021,1003.085,25.558,84.928,0.009,1003.37,25.81,82.536,-0.444,-0.883,0.201,-9.747,0.026,-0.047,-0.013,-2739,-2474,-3853,-0.838,0.544,0.042,0.014,38.3982921,-78.063792,93.753,-0.02,0.03,-0.157,12,-0.526,0.098,-9.615,69.578,-3.056,-0.582,0.001,-0.001,-0.002,12.76,-29.972,56.053,100401,28.74,0.1,-0.051,0.011,-0.96,0.041,0.029,-0.214
1268.579,0.066,-0.081,0.087,0.074,0.04,0.167,0.046,0.067,0.116,1003.084,25.571,84.932,0.004,1003.27,25.81,83.374,0.377,-0.812,0.223,-9.891,-0.036,0.045,-0.094,-2745,-2452,-3781,-0.853,0.521,0.041,0.008,38.3982928,-78.0637944,94.212,0.026,-0.103,0.216,12,-0.5,0.114,-9.574,69.577,-3.062,-0.588,0,0,0,12.643,-30.179,55.923,100389.008,28.75,0.1,-0.051,0.011,-0.961,0.033,0.033,-0.205
1273.579,0.059,0.002,-0.004,0.02,0.018,0.077,0.019,0.038,0.019,1003.083,25.596,84.945,-0.054,1003.29,25.83,83.207,0.168,-0.74,0.287,-9.797,-0.115,0.094,0.149,-2726,-2477,-3782,-0.861,0.507,0.04,0.004,38.3982945,-78.063794,93.917,0.053,-0.003,-0.008,12,-0.499,0.102,-9.623,69.571,-3.048,-0.585,0.002,-0.001,0,12.649,-29.976,55.935,100397,28.775,0.1,-0.049,0.012,-0.961,0.04,0.03,-0.208
1278.579,-0.091,-0.035,0.059,-0.104,-0.057,0.049,-0.069,-0.071,-0.082,1003.082,25.622,84.955,0.007,1003.32,25.84,82.955,-0.067,-0.812,0.309,-9.69,0.092,-0.119,-0.098,-2712,-2467,-3770,-0.868,0.494,0.043,0.012,38.3982947,-78.0637941,94.009,-0.028,-0.001,0.077,12,-0.516,0.135,-9.576,69.592,-3.057,-0.594,0.001,-0.001,-0.001,12.767,-29.98,55.812,100374.008,28.79,0.1,-0.051,0.012,-0.961,0.034,0.033,-0.204
1283.579,-0.073,-0.027,0.016,-0.022,0.014,0.094,-0.035,-0.036,0.04,1003.09,25.641,84.883,-0.051,1003.26,25.86,83.458,0.537,-0.718,0.316,-9.819,0.111,0.079,-0.066,-2744,-2475,-3778,-0.862,0.505,0.039,0.007,38.3982939,-78.0637955,93.918,-0.051,-0.048,-0.073,12,-0.483,0.104,-9.631,69.583,-3.058,-0.583,-0.001,0.001,0,12.419,-30.078,56.446,100382,28.81,0.1,-0.051,0.01,-0.961,0.031,0.034,-0.206
1218.679,0.05,0.077,0.076,-0.046,-0.034,0.13,-0.037,-0.055,0.067,1003.087,25.393,84.907,-0.01,1003.34,25.65,82.787,-0.118,-0.804,0.287,-9.841,0.028,-0.089,0.113,-2766,-2409,-3788,-0.853,0.52,0.042,0.012,38.3982955,-78.0637914,94.212,0.068,0.082,-0.005,12,-0.538,0.068,-9.629,69.557,-3.067,-0.585,0,0,0,12.51,-29.943,56.651,100390.008,28.56,0.1,-0.053,0.009,-0.961,0.036,0.031,-0.206
1218.779,0.04,0.058,0.066,-0.055,-0.085,0.063,-0.035,-0.088,-0.012,1003.087,25.395,84.911,-0.002,1003.36,25.64,82.62,-0.335,-0.697,0.323,-9.769,0.049,0.009,0.023,-2741,-2415,-3724,-0.852,0.522,0.04,0.009,38.3982956,-78.0637913,94.194,0.072,0.088,-0.047,11,-0.497,0.072,-9.611,69.558,-3.068,-0.585,0,0.001,0.001,12.625,-30.049,56.141,100402.008,28.56,0.1,-0.052,0.01,-0.961,0.035,0.03,-0.207
1218.879,0.039,0.035,0.056,-0.035,-0.103,0.094,-0.002,-0.057,0.092,1003.087,25.396,84.91,-0.001,1003.32,25.65,82.955,0.059,-0.776,0.237,-9.869,0.075,-0.111,0.006,-2738,-2441,-3825,-0.852,0.522,0.041,0.013,38.3982957,-78.0637912,94.128,0.078,0.093,-0.13,12,-0.503,0.097,-9.633,69.557,-3.066,-0.587,-0.001,-0.001,0,12.627,-29.947,55.891,100390.008,28.57,0.1,-0.051,0.01,-0.961,0.034,0.032,-0.209
1218.979,0.04,0.026,0.051,-0.039,-0.072,0.019,-0.024,-0.008,-0.04,1003.086,25.393,84.92,0.008,1003.28,25.65,83.291,0.402,-0.711,0.294,-9.74,-0.03,0.111,0.121,-2747,-2439,-3837,-0.849,0.527,0.038,0.007,38.3982957,-78.0637911,94.091,0.073,0.096,-0.176,10,-0.505,0.096,-9.594,69.558,-3.064,-0.588,0,0,-0.002,12.742,-29.948,56.399,100402.008,28.56,0.1,-0.051,0.011,-0.96,0.035,0.03,-0.207
1219.079,0.045,0.032,0.035,-0.026,-0.058,0.065,-0.006,-0.021,0.074,1003.087,25.398,84.907,-0.006,1003.34,25.64,82.787,-0.126,-0.733,0.215,-9.855,0.083,-0.049,-0.068,-2733,-2414,-3783,-0.851,0.524,0.038,0.011,38.3982958,-78.063791,94.047,0.08,0.099,-0.222,11,-0.509,0.082,-9.601,69.553,-3.065,-0.586,0,0,-0.001,12.745,-29.846,56.023,100402.008,28.56,0.1,-0.052,0.01,-0.961,0.037,0.03,-0.213
1219.179,0.068,0.064,0.036,-0.028,-0.049,0.081,-0.069,-0.036,0.114,1003.083,25.391,84.944,0.031,1003.33,25.65,82.871,-0.059,-0.776,0.259,-9.891,0.098,-0.026,-0.013,-2720,-2421,-3809,-0.851,0.524,0.038,0.013,38.3982959,-78.063791,94.071,0.087,0.092,-0.198,11,-0.525,0.099,-9.596,69.553,-3.068,-0.581,0,0,0.002,12.861,-29.849,55.77,100402.008,28.56,0.1,-0.053,0.01,-0.96,0.037,0.031,-0.21
1219.279,0.069,0.074,0.036,-0.036,-0.038,0.07,-0.04,0.013,-0.01,1003.085,25.396,84.924,0.013,1003.35,25.65,82.704,-0.109,-0.84,0.237,-9.762,0.009,-0.017,0.092,-2757,-2417,-3766,-0.848,0.528,0.041,0.013,38.3982959,-78.0637908,94.042,0.083,0.103,-0.228,11,-0.516,0.103,-9.612,69.554,-3.069,-0.582,0.001,0,-0.001,12.398,-29.839,56.148,100402.008,28.57,0.099,-0.051,0.01,-0.949,0.035,0.03,-0.206
1219.379,0.071,0.076,0.045,-0.016,-0.042,0.082,0.04,-0.031,0.057,1003.085,25.403,84.929,0.02,1003.34,25.64,82.787,-0.009,-0.783,0.208,-9.833,-0.043,-0.058,0.026,-2718,-2408,-3815,-0.847,0.529,0.042,0.012,38.398296,-78.0637907,94.041,0.091,0.106,-0.233,11,-0.499,0.098,-9.639,69.56,-3.066,-0.58,0,0.001,0,12.393,-30.044,56.393,100402.008,28.56,0.1,-0.052,0.01,-0.961,0.036,0.035,-0.202
1219.479,0.074,0.078,0.054,-0.006,-0.007,0.076,0.011,0.059,0.023,1003.085,25.395,84.926,0.017,1003.34,25.65,82.787,0.008,-0.812,0.208,-9.797,-0.051,0.111,0,-2723,-2442,-3748,-0.848,0.529,0.04,0.01,38.398296,-78.0637907,94.028,0.088,0.1,-0.25,11,-0.52,0.112,-9.644,69.554,-3.062,-0.583,0,0,-0.001,12.629,-29.844,56.149,100390.008,28.56,0.1,-0.051,0.011,-0.961,0.037,0.03,-0.211
1219.579,0.077,0.078,0.048,0,-0.009,0.026,0.006,-0.008,-0.044,1003.086,25.4,84.919,0.01,1003.35,25.66,82.704,-0.176,-0.776,0.201,-9.733,0.055,-0.043,0.222,-2756,-2440,-3759,-0.842,0.538,0.04,0.013,38.398296,-78.0637908,94.06,0.084,0.086,-0.218,10,-0.523,0.116,-9.587,69.552,-3.065,-0.583,0,-0.001,0,12.52,-29.532,56.033,100394.008,28.57,0.1,-0.052,0.01,-0.96,0.036,0.029,-0.212
1219.679,0.081,0.091,0.029,0.012,0.015,0.008,0.018,0.024,0.007,1003.087,25.401,84.911,0,1003.31,25.65,83.039,0.168,-0.804,0.158,-9.783,0.002,0.013,0.102,-2753,-2466,-3713,-0.839,0.543,0.039,0.014,38.398296,-78.0637905,93.976,0.08,0.106,-0.293,10,-0.517,0.09,-9.613,69.554,-3.067,-0.583,0.001,0.001,0.002,12.511,-29.944,56.144,100406.008,28.58,0.1,-0.053,0.01,-0.962,0.036,0.032,-0.208
1219.779,0.085,0.097,0.031,-0.001,-0.025,0.096,-0.017,-0.057,0.147,1003.086,25.404,84.914,0,1003.31,25.66,83.039,0.201,-0.797,0.33,-9.92,-0.066,-0.087,-0.006,-2734,-2459,-3793,-0.839,0.542,0.044,0.011,38.3982961,-78.0637904,93.986,0.085,0.107,-0.269,11,-0.505,0.07,-9.625,69.555,-3.067,-0.583,0,0.001,-0.001,12.632,-29.741,56.153,100390.008,28.56,0.1,-0.052,0.01,-0.961,0.035,0.031,-0.209
1219.879,0.094,0.086,0.052,0.03,-0.031,0.089,0.038,-0.015,0.035,1003.085,25.404,84.923,0.008,1003.29,25.65,83.207,0.294,-0.74,0.323,-9.812,-0.102,0.038,-0.113,-2707,-2469,-3726,-0.842,0.537,0.043,0.006,38.3982962,-78.0637904,93.987,0.091,0.1,-0.25,11,-0.512,0.1,-9.622,69.563,-3.066,-0.585,0.002,0.001,0.002,12.511,-29.944,56.144,100394.008,28.58,0.1,-0.052,0.01,-0.961,0.034,0.033,-0.202
1219.979,0.117,0.072,0.041,0.087,-0.026,0.066,0.077,-0.002,0.029,1003.089,25.415,84.895,-0.019,1003.27,25.63,83.374,0.461,-0.697,0.23,-9.812,-0.021,0.006,-0.068,-2747,-2443,-3720,-0.844,0.534,0.04,0.007,38.3982962,-78.0637905,94.037,0.085,0.084,-0.181,10,-0.524,0.094,-9.579,69.56,-3.067,-0.587,0,-0.001,0,12.624,-30.049,56.267,100390.008,28.56,0.1,-0.052,0.011,-0.961,0.035,0.029,-0.214
1220.079,0.145,0.091,0.056,0.105,0.05,0.088,0.05,0.068,0.056,1003.086,25.41,84.922,0.01,1003.35,25.65,82.704,-0.168,-0.79,0.172,-9.833,-0.023,0.023,-0.015,-2728,-2447,-3689,-0.845,0.534,0.039,0.01,38.3982962,-78.0637903,93.948,0.079,0.095,-0.25,10,-0.534,0.099,-9.605,69.56,-3.069,-0.586,0,0,-0.001,12.4,-29.736,56.025,100390.008,28.56,0.1,-0.052,0.01,-0.961,0.037,0.031,-0.208
1220.179,0.108,0.099,0,0.081,0.051,0.068,-0.025,0.004,0.051,1003.091,25.404,84.879,-0.035,1003.27,25.64,83.374,0.537,-0.747,0.359,-9.826,-0.075,0.032,-0.026,-2752,-2450,-3812,-0.845,0.532,0.041,0.005,38.3982962,-78.0637902,93.905,0.072,0.099,-0.275,10,-0.501,0.081,-9.611,69.561,-3.071,-0.582,0.001,0,0.001,12.747,-29.743,56.026,100394.008,28.57,0.1,-0.052,0.009,-0.961,0.036,0.03,-0.209
1220.279,0.107,0.108,0.001,0.085,0.053,0.084,0.045,0.013,0.085,1003.089,25.408,84.896,-0.021,1003.47,25.67,81.697,-1.199,-0.79,0.194,-9.862,0.053,-0.07,0.004,-2756,-2425,-3753,-0.845,0.533,0.041,0.011,38.3982963,-78.0637901,93.913,0.075,0.1,-0.247,11,-0.52,0.092,-9.638,69.563,-3.07,-0.582,-0.001,0.001,0,12.98,-29.644,56.665,100390.008,28.56,0.1,-0.052,0.01,-0.961,0.034,0.031,-0.208
1220.379,0.112,0.118,0.012,0.083,0.051,0.09,0.023,0.008,0.043,1003.088,25.402,84.903,-0.016,1003.25,25.65,83.542,0.629,-0.783,0.223,-9.819,-0.034,0.006,-0.04,-2712,-2455,-3711,-0.846,0.531,0.04,0.011,38.3982963,-78.06379,93.9,0.068,0.101,-0.237,10,-0.525,0.106,-9.602,69.566,-3.068,-0.583,-0.001,0,0.001,12.631,-29.741,56.28,100394.008,28.58,0.1,-0.051,0.01,-0.96,0.033,0.032,-0.207
1220.479,0.112,0.124,0.027,0.045,0.028,0.101,-0.046,-0.036,0.062,1003.087,25.404,84.907,-0.012,1003.3,25.66,83.123,0.243,-0.812,0.33,-9.833,0.03,-0.049,-0.017,-2741,-2455,-3791,-0.847,0.53,0.043,0.01,38.3982963,-78.0637899,93.911,0.061,0.102,-0.2,10,-0.508,0.116,-9.584,69.567,-3.067,-0.581,0,0.001,0,12.743,-29.949,56.272,100406.008,28.57,0.1,-0.052,0.01,-0.96,0.038,0.031,-0.208
1220.579,0.104,0.12,0.039,0.039,-0.007,0.097,0.023,-0.049,0.048,1003.087,25.402,84.91,-0.01,1003.29,25.64,83.207,0.378,-0.754,0.237,-9.826,0.049,-0.045,0.151,-2734,-2470,-3801,-0.843,0.537,0.041,0.012,38.3982963,-78.0637898,93.967,0.054,0.105,-0.124,10,-0.519,0.097,-9.651,69.566,-3.068,-0.579,0,0,0,12.63,-29.844,56.023,100394.008,28.58,0.1,-0.051,0.01,-0.961,0.036,0.029,-0.211
1220.679,0.093,0.105,0.044,0.006,-0.041,0.076,-0.024,-0.052,0.027,1003.086,25.398,84.914,-0.006,1003.32,25.64,82.955,0.101,-0.761,0.251,-9.805,0.083,-0.032,0.117,-2735,-2459,-3825,-0.839,0.542,0.04,0.013,38.3982964,-78.0637897,93.954,0.06,0.106,-0.114,10,-0.537,0.125,-9.61,69.567,-3.068,-0.578,0,-0.001,-0.001,12.396,-29.942,56.145,100390.008,28.56,0.1,-0.052,0.01,-0.961,0.036,0.03,-0.207
1220.779,0.083,0.084,0.042,0.007,-0.044,0.112,0.013,-0.014,0.112,1003.088,25.402,84.903,-0.018,1003.28,25.65,83.291,0.394,-0.74,0.273,-9.891,-0.081,0.032,-0.06,-2762,-2453,-3707,-0.841,0.539,0.04,0.009,38.3982965,-78.0637897,93.977,0.065,0.098,-0.07,10,-0.506,0.107,-9.625,69.569,-3.071,-0.578,0,0.001,0,12.508,-30.151,55.631,100394.008,28.58,0.1,-0.052,0.01,-0.96,0.036,0.03,-0.208
1220.879,0.074,0.076,0.063,-0.018,-0.008,0.082,-0.027,0.031,0.012,1003.084,25.408,84.938,0.016,1003.27,25.64,83.374,0.453,-0.833,0.266,-9.783,0.032,-0.004,-0.017,-2736,-2438,-3720,-0.841,0.539,0.041,0.011,38.3982966,-78.0637897,93.992,0.071,0.091,-0.041,10,-0.519,0.101,-9.573,69.569,-3.07,-0.577,0,0,0.002,12.402,-29.633,56.283,100406.008,28.58,0.1,-0.052,0.01,-0.96,0.036,0.031,-0.209
1220.979,0.061,0.088,0.091,0.005,-0.003,0.13,0.027,-0.003,0.095,1003.081,25.398,84.958,0.038,1003.34,25.65,82.787,-0.143,-0.833,0.144,-9.869,0.06,-0.06,-0.102,-2708,-2501,-3769,-0.844,0.534,0.041,0.016,38.3982965,-78.0637895,93.981,0.054,0.103,-0.047,10,-0.524,0.073,-9.619,69.568,-3.067,-0.576,0,0,-0.002,12.74,-30.051,56.522,100394.008,28.57,0.1,-0.051,0.01,-0.962,0.036,0.031,-0.21
1221.079,0.054,0.086,0.108,-0.009,-0.025,0.158,-0.011,-0.027,0.097,1003.084,25.402,84.938,0.017,1003.28,25.65,83.291,0.369,-0.74,0.244,-9.876,-0.03,0.068,0.066,-2725,-2458,-3734,-0.842,0.537,0.038,0.011,38.3982965,-78.0637895,94.002,0.05,0.097,-0.016,10,-0.513,0.082,-9.608,69.569,-3.071,-0.571,0,-0.001,-0.001,12.63,-29.844,56.15,100406.008,28.58,0.1,-0.052,0.009,-0.961,0.037,0.029,-0.208
1221.179,0.049,0.086,0.059,-0.014,-0.021,0.128,-0.018,0.012,0.011,1003.084,25.404,84.936,0.021,1003.34,25.64,82.787,-0.185,-0.826,0.259,-9.783,-0.017,-0.036,-0.015,-2750,-2428,-3722,-0.843,0.537,0.041,0.011,38.3982965,-78.0637895,94.032,0.047,0.09,0.031,10,-0.532,0.102,-9.588,69.569,-3.071,-0.571,0,0.001,0.002,12.748,-29.744,56.154,100394.008,28.58,0.1,-0.052,0.01,-0.961,0.035,0.031,-0.211
1221.279,0.044,0.081,0.061,-0.015,-0.031,0.112,-0.004,-0.036,-0.015,1003.083,25.401,84.939,0.028,1003.39,25.66,82.368,-0.503,-0.761,0.28,-9.762,0.004,-0.017,-0.013,-2736,-2466,-3752,-0.843,0.536,0.041,0.01,38.3982965,-78.0637895,94.054,0.042,0.084,0.066,11,-0.529,0.083,-9.582,69.571,-3.07,-0.571,0,0,0,12.858,-29.951,56.654,100406.008,28.58,0.101,-0.052,0.01,-0.973,0.037,0.032,-0.21
1221.379,0.037,0.071,0.068,-0.027,-0.041,0.111,-0.032,-0.031,0.038,1003.084,25.407,84.932,0.023,1003.21,25.65,83.878,0.931,-0.718,0.244,-9.819,0.104,0.049,0.006,-2755,-2470,-3738,-0.843,0.537,0.037,0.011,38.3982965,-78.0637895,94.068,0.039,0.078,0.094,11,-0.536,0.099,-9.599,69.574,-3.07,-0.571,0.001,0,0.001,12.512,-29.945,56.146,100383,28.57,0.099,-0.051,0.01,-0.948,0.036,0.031,-0.204
1221.479,0.028,0.065,0.081,-0.027,-0.042,0.125,-0.005,-0.017,0.084,1003.084,25.412,84.933,0.026,1003.3,25.66,83.123,0.143,-0.74,0.287,-9.862,-0.049,-0.034,0.173,-2733,-2429,-3808,-0.838,0.544,0.04,0.009,38.3982965,-78.0637893,94.053,0.036,0.088,0.091,11,-0.527,0.089,-9.622,69.574,-3.069,-0.572,0.001,0,0,12.857,-30.055,56.143,100406.008,28.58,0.1,-0.051,0.01,-0.961,0.036,0.03,-0.21
1221.579,0.024,0.048,0.087,-0.032,-0.068,0.122,-0.022,-0.061,0.076,1003.086,25.409,84.922,0.016,1003.24,25.65,83.626,0.596,-0.733,0.273,-9.855,0.089,-0.072,-0.075,-2740,-2423,-3709,-0.84,0.541,0.039,0.012,38.3982966,-78.0637894,94.068,0.043,0.071,0.115,11,-0.517,0.11,-9.624,69.577,-3.07,-0.572,0,0,0,12.628,-29.948,56.02,100390.008,28.57,0.101,-0.053,0.011,-0.973,0.038,0.031,-0.21
1221.679,0.021,0.033,0.088,-0.044,-0.05,0.075,-0.038,0.005,0,1003.084,25.411,84.935,0.028,1003.32,25.66,82.955,-0.067,-0.783,0.244,-9.776,0.045,0.032,-0.019,-2710,-2405,-3734,-0.841,0.54,0.039,0.012,38.3982967,-78.0637894,94.085,0.05,0.064,0.134,11,-0.52,0.09,-9.617,69.576,-3.07,-0.572,0.001,0,0,12.629,-29.844,56.404,100394.008,28.58,0.099,-0.052,0.01,-0.949,0.035,0.032,-0.209
1221.779,0.014,0.022,0.084,-0.075,-0.062,0.067,-0.071,-0.042,0.043,1003.083,25.406,84.941,0.036,1003.3,25.65,83.123,0.076,-0.747,0.345,-9.819,0.04,-0.002,0.102,-2731,-2476,-3744,-0.838,0.545,0.039,0.01,38.3982968,-78.0637894,94.143,0.057,0.058,0.193,11,-0.506,0.099,-9.596,69.575,-3.071,-0.572,0,-0.001,0,12.741,-30.053,56.27,100394.008,28.58,0.1,-0.052,0.01,-0.961,0.034,0.03,-0.208
1221.879,-0.009,0.019,0.077,-0.118,-0.001,0.061,-0.088,0.054,0.038,1003.084,25.409,84.937,0.03,1003.34,25.66,82.787,-0.277,-0.812,0.259,-9.812,0.121,0.117,-0.023,-2726,-2435,-3778,-0.838,0.544,0.037,0.012,38.3982968,-78.0637895,94.196,0.052,0.043,0.246,11,-0.517,0.077,-9.606,69.574,-3.07,-0.571,0.001,0,0.002,12.63,-29.844,56.277,100406.008,28.58,0.1,-0.052,0.01,-0.961,0.036,0.032,-0.209
