# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,2.739e-4,0.055,5.48,0.055,5.511,2.879e-5,0,2.879e-5,0,0.006,0.576,32,-106,9.791,83.517,0,0,0,5.192e4,2.679e4,47.003,0.254,NaN,253.455,NaN,0.018,1.235e6,791.639,7.946e-4,0.587,0.002,0.465,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.828e-6,15.748,194.778,84,0,6.498,37.004,861.252,353.724,0.01,0.012
0.02,0.003,0.413,35.819,0.415,36.016,2.746e-4,0,2.746e-4,0,0.043,3.765,32,-106,9.791,80.339,0,0,0,5.191e4,2.677e4,46.996,0.254,NaN,253.44,NaN,0.018,1.228e6,2374.897,0.003,0.587,0.006,0.466,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.146e-5,15.748,194.778,84,0,6.41,37.004,861.252,353.724,0.01,0.014
0.03,0.01,1.075,66.172,1.08,66.537,0.001,0,0.001,0,0.113,6.955,32,-106,9.791,74.52,0,0,0,5.189e4,2.676e4,46.99,0.254,NaN,253.425,NaN,0.018,1.239e6,3958.155,0.01,0.586,0.024,0.465,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.339e-4,15.748,194.778,84,0,6.322,37.004,861.252,353.723,0.01,0.015
0.04,0.025,1.889,81.486,1.9,81.935,0.003,0,0.003,0,0.199,8.565,32,-106,9.791,67.635,0,0,0,5.187e4,2.674e4,46.977,0.254,NaN,253.395,NaN,0.019,1.273e6,4754.946,0.028,0.584,0.067,0.463,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.354e-4,15.748,194.778,84,0,6.235,37.004,861.251,353.723,0.01,0.017
0.05,0.048,2.706,81.728,2.721,82.178,0.005,0,0.005,0,0.284,8.59,32,-106,9.791,61.18,0,0,0,5.184e4,2.671e4,46.964,0.254,NaN,253.364,NaN,0.02,1.325e6,4765.27,0.06,0.58,0.131,0.459,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.373e-4,15.748,194.778,84,0,6.147,37.004,861.251,353.723,0.01,0.018
0.06,0.079,3.526,81.969,3.545,82.42,0.008,0,0.008,0,0.371,8.615,32,-106,9.791,55.36,0,0,0,5.182e4,2.669e4,46.951,0.254,NaN,253.334,NaN,0.021,1.397e6,4775.593,0.105,0.576,0.206,0.454,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.394e-4,15.748,194.778,84,0,6.085,37.004,861.25,353.723,0.01,0.019
0.07,0.118,4.348,82.21,4.372,82.663,0.012,0,0.012,0,0.457,8.641,32,-106,9.791,50.143,0,0,0,5.179e4,2.666e4,46.938,0.254,NaN,253.303,NaN,0.022,1.482e6,4785.897,0.164,0.571,0.285,0.449,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.418e-4,15.748,194.778,84,0,6.024,37.004,861.25,353.723,0.01,0.021
0.08,0.166,5.172,82.451,5.2,82.905,0.017,0,0.017,0,0.544,8.666,32,-106,9.791,45.515,0,0,0,5.177e4,2.664e4,46.924,0.254,NaN,253.273,NaN,0.023,1.578e6,4796.181,0.235,0.565,0.361,0.444,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.446e-4,15.748,194.778,84,0,5.962,37.004,861.249,353.723,0.01,0.022
0.09,0.222,5.999,82.692,6.032,83.148,0.023,0,0.023,0,0.63,8.691,32,-106,9.791,41.431,0,0,0,5.174e4,2.661e4,46.911,0.254,NaN,253.242,NaN,0.025,1.683e6,4806.465,0.318,0.56,0.43,0.439,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.476e-4,15.748,194.778,84,0,5.9,37.004,861.248,353.723,0.01,0.023
0.1,0.286,6.828,82.933,6.865,83.39,0.03,0,0.03,0,0.718,8.717,32,-106,9.791,37.837,0,0,0,5.172e4,2.659e4,46.898,0.254,NaN,253.211,NaN,0.027,1.797e6,4816.728,0.412,0.555,0.488,0.433,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.509e-4,15.748,194.778,84,0,5.838,37.004,861.247,353.723,0.01,0.024
0.11,0.358,7.659,83.174,7.701,83.632,0.038,0,0.038,0,0.805,8.742,32,-106,9.791,34.938,0,0,0,5.169e4,2.656e4,46.885,0.254,NaN,253.18,NaN,0.029,1.925e6,4826.971,0.515,0.549,0.532,0.428,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.546e-4,15.748,194.778,84,0,5.838,37.004,861.245,353.723,0.01,0.025
0.12,0.439,8.493,83.414,8.54,83.874,0.046,0,0.046,0,0.893,8.767,32,-106,9.791,32.398,0,0,0,5.167e4,2.654e4,46.871,0.254,NaN,253.149,NaN,0.031,2.057e6,4837.214,0.627,0.544,0.567,0.422,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.748,194.778,84,0,5.839,37.003,861.244,353.723,0.01,0.026
0.13,0.528,9.33,83.655,9.381,84.116,0.056,0,0.056,0,0.981,8.792,32,-106,9.791,30.164,0,0,0,5.164e4,2.651e4,46.858,0.254,NaN,253.118,NaN,0.033,2.194e6,4847.436,0.748,0.539,0.595,0.417,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.748,194.778,84,0,5.839,37.003,861.242,353.723,0.01,0.027
0.14,0.626,10.168,83.895,10.224,84.357,0.066,0,0.066,0,1.069,8.818,32,-106,9.791,28.189,0,0,0,5.162e4,2.648e4,46.845,0.254,NaN,253.087,NaN,0.035,2.334e6,4857.636,0.876,0.534,0.615,0.413,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.748,194.778,84,0,5.839,37.003,861.24,353.723,0.01,0.028
0.15,0.732,11.009,84.135,11.07,84.599,0.077,0,0.077,0,1.157,8.843,32,-106,9.791,26.434,0,0,0,5.159e4,2.646e4,46.831,0.254,NaN,253.055,NaN,0.037,2.476e6,4867.836,1.012,0.53,0.631,0.408,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.748,194.778,84,0,5.839,37.003,861.238,353.723,0.01,0.029
0.16,0.846,11.853,84.376,11.918,84.84,0.089,0,0.089,0,1.246,8.868,32,-106,9.791,25.016,0,0,0,5.156e4,2.643e4,46.818,0.253,NaN,253.024,NaN,0.039,2.626e6,4878.014,1.155,0.526,0.641,0.404,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.748,194.778,84,0,5.881,37.003,861.236,353.723,0.01,0.03
0.17,0.969,12.699,84.616,12.769,85.082,0.102,0,0.102,0,1.335,8.893,32,-106,9.791,23.747,0,0,0,5.154e4,2.641e4,46.804,0.253,NaN,252.992,NaN,0.041,2.777e6,4888.171,1.305,0.521,0.647,0.4,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,5.922,37.002,861.234,353.722,0.01,0.031
0.18,1.1,13.547,84.856,13.622,85.323,0.116,0,0.116,0,1.424,8.919,32,-106,9.791,22.606,0,0,0,5.151e4,2.638e4,46.791,0.253,NaN,252.961,NaN,0.044,2.929e6,4898.327,1.462,0.518,0.652,0.396,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,5.964,37.002,861.231,353.722,0.01,0.032
0.19,1.24,14.398,85.096,14.477,85.565,0.13,0,0.13,0,1.513,8.944,32,-106,9.791,21.576,0,0,0,5.149e4,2.636e4,46.777,0.253,NaN,252.929,NaN,0.046,3.084e6,4908.46,1.625,0.514,0.654,0.392,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,6.006,37.002,861.229,353.722,0.01,0.032
0.2,1.388,15.251,85.336,15.335,85.806,0.146,0,0.146,0,1.603,8.969,32,-106,9.791,20.641,0,0,0,5.146e4,2.633e4,46.764,0.253,NaN,252.897,NaN,0.048,3.239e6,4918.571,1.796,0.511,0.655,0.389,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,6.048,37.002,861.226,353.722,0.01,0.033
0.21,1.545,16.107,85.575,16.195,86.047,0.162,0,0.162,0,1.693,8.994,32,-106,9.791,20.099,0,0,0,5.144e4,2.63e4,46.75,0.253,NaN,252.865,NaN,0.051,3.405e6,4928.682,1.978,0.507,0.653,0.386,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,6.197,37.001,861.223,353.722,0.01,0.034
0.22,1.71,16.965,85.815,17.058,86.288,0.18,0,0.18,0,1.783,9.02,32,-106,9.791,19.604,0,0,0,5.141e4,2.628e4,46.736,0.253,NaN,252.833,NaN,0.053,3.571e6,4938.769,2.169,0.504,0.651,0.382,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,6.347,37.001,861.22,353.722,0.01,0.035
0.23,1.884,17.825,86.054,17.923,86.528,0.198,0,0.198,0,1.873,9.045,32,-106,9.791,19.152,0,0,0,5.138e4,2.625e4,46.723,0.253,NaN,252.801,NaN,0.056,3.738e6,4948.833,2.368,0.501,0.648,0.379,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,6.496,37.001,861.217,353.721,0.01,0.036
0.24,2.067,18.688,86.294,18.79,86.769,0.217,0,0.217,0,1.964,9.07,32,-106,9.791,18.736,0,0,0,5.136e4,2.623e4,46.709,0.253,NaN,252.769,NaN,0.058,3.906e6,4958.897,2.575,0.498,0.646,0.376,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,6.645,37,861.213,353.721,0.01,0.037
0.25,2.258,19.553,86.533,19.66,87.009,0.237,0,0.237,0,2.055,9.095,32,-106,9.791,18.352,0,0,0,5.133e4,2.62e4,46.695,0.253,NaN,252.737,NaN,0.061,4.074e6,4968.937,2.79,0.496,0.643,0.374,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.748,194.778,84,0,6.795,37,861.21,353.721,0.01,0.038
0.26,2.458,20.42,86.772,20.533,87.25,0.258,0,0.258,0,2.146,9.12,32,-106,9.791,17.438,0,0,0,5.131e4,2.617e4,46.681,0.253,NaN,252.704,NaN,0.063,4.225e6,4978.953,2.992,0.493,0.641,0.371,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.706,37,861.206,353.721,0.01,0.039
0.27,2.666,21.29,87.012,21.407,87.491,0.28,0,0.28,0,2.238,9.145,32,-106,9.791,16.585,0,0,0,5.128e4,2.615e4,46.667,0.253,NaN,252.672,NaN,0.065,4.377e6,4988.968,3.196,0.491,0.638,0.369,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.618,36.999,861.202,353.72,0.01,0.041
0.28,2.883,22.162,87.251,22.284,87.732,0.303,0,0.303,0,2.329,9.17,32,-106,9.791,15.788,0,0,0,5.125e4,2.612e4,46.653,0.253,NaN,252.639,NaN,0.067,4.531e6,4998.959,3.399,0.489,0.633,0.367,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.529,36.999,861.198,353.72,0.01,0.043
0.29,3.109,23.037,87.491,23.164,87.973,0.327,0,0.327,0,2.421,9.196,32,-106,9.791,15.042,0,0,0,5.123e4,2.609e4,46.639,0.252,NaN,252.606,NaN,0.07,4.686e6,5008.925,3.602,0.487,0.628,0.365,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.441,36.998,861.194,353.72,0.01,0.044
0.3,3.344,23.914,87.73,24.046,88.213,0.351,0,0.351,0,2.513,9.221,32,-106,9.791,14.342,0,0,0,5.12e4,2.607e4,46.625,0.252,NaN,252.574,NaN,0.072,4.842e6,5018.891,3.804,0.485,0.621,0.363,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.353,36.998,861.19,353.72,0.01,0.045
0.31,3.588,24.794,87.969,24.93,88.454,0.377,0,0.377,0,2.606,9.246,32,-106,9.791,13.914,0,0,0,5.117e4,2.604e4,46.611,0.252,NaN,252.541,NaN,0.075,5.006e6,5028.831,4.03,0.483,0.615,0.36,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.376,36.997,861.185,353.719,0.01,0.046
0.32,3.84,25.675,88.208,25.817,88.694,0.404,0,0.404,0,2.699,9.271,32,-106,9.791,13.513,0,0,0,5.115e4,2.602e4,46.597,0.252,NaN,252.508,NaN,0.077,5.171e6,5038.746,4.26,0.481,0.609,0.358,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.4,36.997,861.18,353.719,0.01,0.047
0.33,4.101,26.56,88.447,26.706,88.935,0.431,0,0.431,0,2.792,9.296,32,-106,9.791,13.135,0,0,0,5.112e4,2.599e4,46.583,0.252,NaN,252.475,NaN,0.079,5.337e6,5048.66,4.496,0.479,0.604,0.357,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.424,36.996,861.176,353.719,0.01,0.048
0.34,4.371,27.446,88.686,27.597,89.175,0.459,0,0.459,0,2.885,9.321,32,-106,9.791,12.778,0,0,0,5.109e4,2.596e4,46.569,0.252,NaN,252.441,NaN,0.082,5.503e6,5058.549,4.737,0.477,0.598,0.355,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.748,194.778,84,0,6.447,36.996,861.171,353.718,0.01,0.049
0.35,4.65,28.335,88.925,28.491,89.415,0.489,0,0.489,0,2.978,9.346,32,-106,9.791,12.442,0,0,0,5.107e4,2.594e4,46.555,0.252,NaN,252.408,NaN,0.084,5.67e6,5068.411,4.983,0.476,0.593,0.353,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.748,194.778,84,0,6.471,36.995,861.165,353.718,0.01,0.05
0.36,4.938,29.227,89.163,29.388,89.655,0.519,0,0.519,0,3.072,9.371,32,-106,9.791,12.19,0,0,0,5.104e4,2.591e4,46.541,0.252,NaN,252.375,NaN,0.087,5.84e6,5078.273,5.245,0.474,0.588,0.351,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.748,194.778,84,0,6.532,36.995,861.16,353.718,0.01,0.051
0.37,5.235,30.12,89.402,30.286,89.894,0.55,0,0.55,0,3.166,9.397,32,-106,9.791,11.952,0,0,0,5.101e4,2.588e4,46.526,0.252,NaN,252.341,NaN,0.09,6.011e6,5088.108,5.513,0.472,0.584,0.349,0.002,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.748,194.778,84,0,6.593,36.994,861.154,353.717,0.01,0.051
0.385,5.697,31.465,89.694,31.639,90.205,0.599,2.792e-8,0.599,2.672e-6,3.31,9.588,32,-106,9.791,11.621,0,6.04e-4,3.804e-8,5.097e4,2.584e4,46.505,0.252,280.016,252.291,1.761,0.093,6.267e6,5100.367,5.929,0.47,0.577,0.347,0.002,0.121,4.283,7.541,1.12e-4,0,0,0,0,1.776e-4,0.004,15.748,194.778,83.998,-5.32E-07,6.685,36.993,861.146,353.717,0.015,0.052
0.408,6.427,33.492,90.161,33.677,90.673,0.676,1.782e-7,0.676,1.511e-5,3.526,9.621,32,-106,9.791,10.888,0,0.002,-8.00E-09,5.091e4,2.578e4,46.472,0.252,281.403,252.215,1.853,0.099,6.645e6,5118.72,6.526,0.467,0.565,0.343,0.002,0.121,3.942,7.305,3.358e-4,0,0,0,0,0.001,0.004,15.748,194.778,83.99,-8.45E-07,6.649,36.992,861.132,353.716,0.023,0.053
0.441,7.609,36.555,90.851,36.758,91.378,0.8,6.635e-7,0.8,4.751e-5,3.854,9.795,32,-106,9.791,9.157,0,0.003,6.904e-8,5.082e4,2.569e4,46.423,0.251,284.921,252.1,2.084,0.107,7.191e6,5146.113,7.297,0.462,0.54,0.339,0.002,0.121,3.172,6.607,-2.68E-04,0,0,0,0,0.004,0.005,15.748,194.778,83.961,-1.87E-06,6.075,36.99,861.11,353.715,0.034,0.054
0.491,9.552,41.142,91.885,41.372,92.417,1.005,2.008e-6,1.005,1.145e-4,4.349,9.905,32,-106,9.791,8.591,0,0.006,3.01e-8,5.069e4,2.555e4,46.35,0.251,286.165,251.927,2.174,0.12,8.075e6,5186.619,8.966,0.456,0.526,0.332,0.002,0.122,2.932,6.365,-2.43E-04,0,0,0,0,0.01,0.005,15.748,194.778,83.881,-6.19E-06,6.452,36.986,861.074,353.712,0.05,0.054
0.541,11.725,45.789,93.058,46.046,93.61,1.235,4.175e-6,1.235,1.937e-4,4.853,10.155,32,-106,9.791,7.912,0,0.009,2.346e-8,5.055e4,2.542e4,46.276,0.251,287.714,251.752,2.284,0.134,8.965e6,5234.54,10.755,0.451,0.512,0.327,0.002,0.122,2.652,6.036,-3.69E-04,0,0,0,0,0.019,0.006,15.748,194.778,83.748,-9.17E-06,6.704,36.982,861.034,353.71,0.05,0.055
0.591,14.132,50.495,94.213,50.78,94.801,1.491,7.254e-6,1.491,2.788e-4,5.372,10.549,32,-106,9.79,7.18,0,0.013,3.665e-7,5.041e4,2.528e4,46.201,0.25,289.453,251.574,2.405,0.147,9.863e6,5281.948,12.672,0.447,0.498,0.321,0.003,0.123,2.359,5.643,2.117e-4,0,0,0,0,0.032,0.006,15.748,194.778,83.553,-1.77E-05,6.869,36.977,860.989,353.707,0.05,0.056
0.641,16.776,55.257,95.343,55.572,95.99,1.773,1.133e-5,1.773,3.661e-4,5.916,11.13,32,-106,9.79,6.341,0,0.017,2.467e-7,5.027e4,2.514e4,46.124,0.25,291.546,251.394,2.55,0.16,1.077e7,5328.827,14.685,0.443,0.485,0.317,0.003,0.123,2.035,5.143,2.29e-4,0,0,0,0,0.046,0.007,15.748,194.778,83.289,-3.09E-05,6.894,36.972,860.94,353.704,0.05,0.057
0.691,19.659,60.075,96.468,60.424,97.167,2.083,1.648e-5,2.083,4.533e-4,6.488,11.635,32,-106,9.79,6.469,0,0.021,5.412e-7,5.013e4,2.5e4,46.047,0.249,291.249,251.211,2.542,0.175,1.173e7,5375.148,17.334,0.439,0.482,0.312,0.003,0.124,2.085,5.237,2.651e-5,0,0,0,0,0.063,0.007,15.748,194.778,82.947,-3.63E-05,7.959,36.966,860.886,353.701,0.05,0.057
0.741,22.785,64.948,97.542,65.334,98.347,2.422,2.281e-5,2.422,5.394e-4,7.093,12.558,32,-106,9.79,5.76,0,0.027,8.606e-7,4.998e4,2.485e4,45.969,0.249,293.098,251.026,2.672,0.189,1.266e7,5420.898,19.756,0.436,0.471,0.308,0.003,0.125,1.819,4.775,2.07e-4,0,0,0,0,0.085,0.008,15.748,194.778,82.515,-3.82E-05,8.195,36.96,860.828,353.697,0.05,0.058
0.791,26.155,69.873,98.555,70.302,99.532,2.793,3.04e-5,2.793,6.235e-4,7.757,13.909,32,-106,9.79,4.499,0,0.032,1.408e-6,4.984e4,2.471e4,45.889,0.248,296.572,250.838,2.904,0.202,1.358e7,5466.06,22.009,0.434,0.456,0.305,0.003,0.125,1.369,3.869,-1.77E-04,0,0,0,0,0.107,0.009,15.748,194.778,81.985,-4.91E-05,7.752,36.954,860.765,353.693,0.05,0.059
0.841,29.773,74.847,99.518,75.327,100.711,3.199,3.935e-5,3.199,7.048e-4,8.493,15.457,32,-106,9.79,3.434,0,0.037,1.646e-6,4.97e4,2.456e4,45.809,0.248,299.741,250.647,3.117,0.216,1.453e7,5510.606,24.553,0.431,0.445,0.302,0.004,0.126,1.011,3.03,1.065e-5,0,0,0,0,0.123,0.009,15.748,194.778,81.363,-6.59E-05,7.511,36.947,860.697,353.689,0.05,0.06
0.891,33.641,79.867,100.413,80.409,101.888,3.644,4.978e-5,3.644,7.827e-4,9.314,17.274,32,-106,9.79,2.305,-5.19E-09,0.041,3.031e-6,4.955e4,2.442e4,45.728,0.248,303.351,250.454,3.359,0.231,1.548e7,5554.521,27.287,0.429,0.436,0.298,0.004,0.127,0.655,2.065,2.057e-4,0,0,0,0,0.134,0.01,15.748,194.778,80.66,-6.75E-05,7.143,36.94,860.625,353.684,0.05,0.061
0.941,37.761,84.931,101.26,85.545,103.056,4.132,6.18e-5,4.132,8.569e-4,10.228,19.158,32,-106,9.79,1.545,0,0.044,5.016e-6,4.94e4,2.427e4,45.645,0.247,305.953,250.258,3.537,0.245,1.646e7,5597.79,30.482,0.428,0.431,0.295,0.004,0.128,0.428,1.377,3.443e-4,0,0,0,0,0.137,0.011,15.748,194.778,79.893,-5.13E-05,7.283,36.932,860.549,353.679,0.05,0.062
0.991,42.135,90.034,101.987,90.733,104.229,4.669,7.558e-5,4.669,9.276e-4,11.247,21.499,32,-106,9.79,0.105,-6.42E-09,0.046,8.03e-5,4.925e4,2.412e4,45.562,0.247,311.241,250.059,3.885,0.259,1.741e7,5640.385,33.749,0.426,0.426,0.293,0.005,0.129,0.028,-0.024,-3.15E-04,0,0,0,0,0.132,0.011,15.748,194.778,79.082,5.395e-6,6.286,36.923,860.467,353.674,0.05,0.063
1.041,46.765,95.171,102.672,95.973,105.388,5.259,9.134e-5,5.259,9.952e-4,12.384,23.77,32,-106,9.79,0.878,0,-0.044,1.025e-5,4.911e4,2.397e4,45.478,0.246,308.394,249.858,3.717,0.274,1.839e7,5682.293,37.635,0.425,0.426,0.29,0.005,0.13,0.238,0.996,1.534e-4,0,0,0,0,-0.111,0.012,15.748,194.778,78.269,5.905e-5,5.855,36.914,860.381,353.669,0.05,0.063
1.091,51.653,100.342,103.334,101.263,106.536,5.909,1.093e-4,5.909,0.001,13.632,25.92,32,-106,9.79,1.507,8.533e-9,-0.041,5.9e-6,4.895e4,2.382e4,45.392,0.246,306.202,249.654,3.591,0.289,1.94e7,5723.499,41.945,0.424,0.426,0.287,0.006,0.131,0.418,1.587,3.45e-4,0,0,0,0,-0.085,0.013,15.748,194.778,77.5,1.638e-4,5.855,36.905,860.29,353.663,0.05,0.064
1.141,56.8,105.544,103.959,106.603,107.674,6.624,1.299e-4,6.624,0.001,14.986,28.042,32,-106,9.79,2.158,8.558e-9,-0.036,4.187e-6,4.88e4,2.367e4,45.306,0.245,304.036,249.447,3.466,0.304,2.04e7,5763.973,46.625,0.423,0.428,0.285,0.006,0.132,0.613,2.182,-4.06E-04,0,0,0,0,-0.058,0.013,15.748,194.778,76.81,3.192e-4,5.584,36.895,860.194,353.657,0.05,0.065
1.191,62.208,110.778,104.639,111.991,108.795,7.409,1.535e-4,7.409,0.001,16.439,29.783,32,-106,9.79,2.431,0,-0.028,3.894e-6,4.865e4,2.352e4,45.219,0.245,303.188,249.238,3.426,0.319,2.144e7,5803.705,51.555,0.422,0.429,0.282,0.006,0.133,0.697,2.421,-2.59E-04,0,0,0,0,-0.033,0.014,15.748,194.778,76.236,4.894e-4,5.757,36.885,860.093,353.651,0.05,0.065
1.241,67.879,116.048,105.381,117.431,109.897,8.269,1.806e-4,8.269,0.001,17.969,31.177,32,-106,9.79,2.556,-5.87E-09,-0.019,4.258e-6,4.85e4,2.336e4,45.13,0.245,302.837,249.026,3.417,0.335,2.248e7,5842.68,56.722,0.422,0.429,0.28,0.007,0.135,0.737,2.532,4.94e-4,0,0,0,0,-0.014,0.015,15.748,194.778,75.808,6.583e-4,5.925,36.874,859.988,353.644,0.05,0.066
1.291,73.814,121.355,106.17,122.922,110.982,9.207,2.118e-4,9.207,0.001,19.563,32.327,32,-106,9.79,2.746,-5.16E-09,-0.009,4.718e-6,4.834e4,2.321e4,45.041,0.244,302.283,248.811,3.395,0.35,2.351e7,5880.869,62.175,0.421,0.43,0.278,0.008,0.136,0.797,2.711,-4.58E-04,0,0,0,0,-0.003,0.015,15.748,194.778,75.548,8.236e-4,5.577,36.862,859.877,353.637,0.05,0.067
1.341,80.016,126.706,107.15,128.467,112.034,10.226,2.477e-4,10.226,0.001,21.198,32.718,32,-106,9.79,2.51,0,0.002,1.585e-6,4.819e4,2.305e4,44.95,0.244,303.099,248.593,3.461,0.366,2.457e7,5918.262,67.691,0.421,0.429,0.276,0.008,0.137,0.724,2.506,-2.04E-04,0,0,0,0,1.03e-4,0.016,15.748,194.778,75.48,0.001,5.754,36.85,859.762,353.63,0.05,0.067
1.391,86.486,132.109,108.254,134.068,113.061,11.327,2.888e-4,11.327,0.001,22.838,32.616,32,-106,9.79,2.225,0,0.013,1.393e-6,4.803e4,2.29e4,44.859,0.243,304.092,248.372,3.538,0.382,2.563e7,5954.846,73.419,0.421,0.427,0.274,0.009,0.139,0.637,2.247,4.115e-4,0,0,0,0,0.005,0.017,15.748,194.778,75.612,0.001,5.637,36.838,859.641,353.623,0.05,0.068
1.441,93.228,137.568,109.388,139.727,114.075,12.51,3.359e-4,12.51,0.002,24.469,32.362,32,-106,9.79,2.215,0,0.024,3.233e-6,4.787e4,2.274e4,44.766,0.243,304.187,248.149,3.558,0.397,2.666e7,5990.592,79.455,0.422,0.427,0.272,0.009,0.141,0.634,2.242,4.948e-4,0,0,0,0,0.015,0.017,15.748,194.778,75.941,0.002,4.379,36.825,859.516,353.615,0.05,0.069
1.489,99.903,142.828,110.912,145.17,114.988,13.711,3.869e-4,13.711,0.002,25.972,30.343,32,-106,9.79,1.027,-9.12E-09,0.033,2.407e-6,4.772e4,2.259e4,44.677,0.242,308.325,247.934,3.835,0.414,2.775e7,6024.672,85.257,0.422,0.423,0.27,0.01,0.142,0.283,1.059,-3.81E-04,0,0,0,0,0.027,0.018,15.748,194.778,76.436,0.002,5.8,36.796,859.244,353.598,0.048,0.069
1.539,107.184,148.428,112.38,150.943,115.912,15.047,4.476e-4,15.047,0.002,27.44,28.398,32,-106,9.79,0.268,0,0.036,4.373e-6,4.756e4,2.243e4,44.583,0.242,311.175,247.705,4.03,0.43,2.884e7,6057.928,91.995,0.423,0.423,0.268,0.011,0.144,0.072,0.261,-4.38E-04,0,0,0,0,0.03,0.019,15.748,194.778,77.065,0.002,5.944,36.725,858.568,353.554,0.05,0.07
