State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),DPS368 - Alt AGL (m),BMI088andLIS3MDL - AccX (m/s^2),BMI088andLIS3MDL - AccY (m/s^2),BMI088andLIS3MDL - AccZ (m/s^2),BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - MagX (uT),BMI088andLIS3MDL - MagY (uT),BMI088andLIS3MDL - MagZ (uT),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
27.450,0,0,0.685,-4.758,-8.060,0.746,-5.003,-12.482,0.442,-2.633,-9.685,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.190,12.909,2.031,918.287,28.215,821.969,-0.010,10.042,-0.201,0.215,-0.119,0.104,-0.100,4240.000,-1313.000,-13937.000,0.081,-0.693,0.091,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.610,91871.383,27.344,0.000,0.000,-0.078,9.859,-0.088,-0.000,0.001,0.000,0.000,0.000
27.551,0,0,0.689,-4.770,-8.059,0.751,-5.017,-12.473,0.412,-2.650,-9.601,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.507,13.114,2.051,918.287,28.214,821.962,-0.021,9.963,-0.266,0.201,-0.026,0.053,-0.085,4214.000,-1291.000,-13972.000,0.079,-0.693,0.092,0.710,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.610,91871.383,27.344,0.000,0.000,-0.078,9.859,-0.088,-0.000,0.001,0.000,0.000,0.000
27.652,0,0,0.694,-4.781,-8.060,0.763,-5.017,-12.481,0.487,-2.512,-9.767,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.484,13.319,2.056,918.288,28.213,821.954,-0.029,10.092,-0.122,0.273,-0.032,-0.015,0.026,4218.000,-1287.000,-13928.000,0.078,-0.694,0.090,0.710,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.350,0.000,0.000,-0.147,9.898,-0.147,0.000,0.000,0.000,0.000,0.000
27.753,0,0,0.698,-4.791,-8.060,0.762,-5.022,-12.478,0.353,-2.571,-9.660,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.472,13.527,2.071,918.288,28.209,821.957,-0.025,9.999,-0.187,0.223,0.017,-0.109,0.049,4242.000,-1273.000,-14010.000,0.077,-0.696,0.092,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.350,0.000,0.000,-0.147,9.898,-0.147,0.000,0.000,0.000,0.000,0.000
27.854,0,0,0.702,-4.801,-8.061,0.756,-5.031,-12.471,0.313,-2.620,-9.610,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.063,13.736,2.091,918.289,28.218,821.943,-0.036,9.963,-0.136,0.180,0.113,-0.019,-0.064,4201.000,-1302.000,-13928.000,0.083,-0.696,0.094,0.707,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,-0.069,9.820,-0.147,-0.001,0.000,-0.000,0.000,0.000
27.955,0,0,0.705,-4.811,-8.062,0.746,-5.043,-12.474,0.270,-2.643,-9.709,0.000,0.000,0.0116870,0.000,9144.000,0.016,0.998,13.946,2.101,918.289,28.225,821.945,-0.034,10.063,-0.180,0.158,-0.047,0.015,0.113,4213.000,-1271.000,-13874.000,0.079,-0.697,0.095,0.707,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,-0.069,9.820,-0.147,-0.001,0.000,-0.000,0.000,0.000
28.056,0,0,0.707,-4.822,-8.060,0.746,-5.063,-12.475,0.381,-2.737,-9.702,0.000,0.000,0.0116870,0.000,9144.000,0.016,0.989,14.157,2.112,918.287,28.224,821.962,-0.016,10.085,-0.172,0.201,0.104,0.036,-0.241,4222.000,-1264.000,-13944.000,0.087,-0.694,0.094,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.344,0.000,0.000,-0.108,9.790,-0.147,0.000,0.000,0.000,0.000,0.000
28.157,0,0,0.708,-4.834,-8.058,0.736,-5.088,-12.465,0.269,-2.789,-9.602,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.172,14.370,2.132,918.287,28.224,821.962,-0.014,9.999,-0.237,0.151,0.013,-0.038,-0.060,4249.000,-1297.000,-13998.000,0.086,-0.696,0.096,0.706,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.344,0.000,0.000,-0.108,9.790,-0.147,0.000,0.000,0.000,0.000,0.000
28.258,0,0,0.710,-4.846,-8.058,0.748,-5.106,-12.458,0.496,-2.732,-9.604,0.000,0.000,0.0116870,0.000,9144.000,0.016,0.908,14.585,2.153,918.289,28.224,821.946,-0.031,9.991,-0.158,0.316,0.019,-0.028,-0.026,4239.000,-1245.000,-13893.000,0.086,-0.694,0.097,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.350,0.000,0.000,-0.059,9.751,-0.284,0.000,0.000,0.000,0.000,0.000
28.359,0,0,0.713,-4.858,-8.056,0.768,-5.102,-12.464,0.565,-2.510,-9.748,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.281,14.801,2.159,918.288,28.225,821.953,-0.020,10.078,-0.014,0.309,-0.111,0.060,0.096,4221.000,-1274.000,-13908.000,0.083,-0.692,0.094,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.350,0.000,0.000,-0.059,9.751,-0.284,0.000,0.000,0.000,0.000,0.000
28.460,0,0,0.716,-4.870,-8.055,0.765,-5.116,-12.461,0.353,-2.707,-9.659,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.684,15.019,2.174,918.289,28.220,821.949,-0.023,10.034,-0.165,0.194,0.064,-0.075,0.015,4235.000,-1303.000,-13947.000,0.084,-0.695,0.096,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.350,0.000,0.000,-0.059,9.751,-0.284,0.000,0.000,0.000,0.000,0.000
28.561,0,0,0.719,-4.882,-8.054,0.773,-5.136,-12.452,0.452,-2.763,-9.591,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.184,15.238,2.196,918.289,28.227,821.943,-0.025,9.984,-0.230,0.287,0.002,-0.032,0.038,4204.000,-1291.000,-13876.000,0.082,-0.694,0.099,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.088,9.790,-0.088,0.001,-0.000,0.001,0.000,0.000
28.662,0,0,0.722,-4.894,-8.047,0.774,-5.147,-12.439,0.397,-2.681,-9.584,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.325,15.460,2.219,918.286,28.215,821.976,0.009,9.955,-0.180,0.215,-0.023,0.023,-0.058,4218.000,-1262.000,-13877.000,0.083,-0.694,0.096,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.088,9.790,-0.088,0.001,-0.000,0.001,0.000,0.000
28.763,0,0,0.726,-4.906,-8.043,0.796,-5.163,-12.436,0.601,-2.738,-9.665,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.348,15.684,2.233,918.287,28.216,821.960,-0.006,10.056,-0.144,0.345,0.068,0.023,-0.051,4205.000,-1279.000,-13845.000,0.086,-0.691,0.098,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.059,9.781,-0.108,-0.000,0.000,-0.000,0.000,0.000
28.864,0,0,0.732,-4.919,-8.035,0.814,-5.168,-12.427,0.554,-2.639,-9.626,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.726,15.909,2.252,918.285,28.214,821.986,0.022,9.991,-0.158,0.280,-0.098,0.062,-0.023,4208.000,-1259.000,-13885.000,0.082,-0.691,0.095,0.712,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.059,9.781,-0.108,-0.000,0.000,-0.000,0.000,0.000
28.965,0,0,0.737,-4.930,-8.027,0.810,-5.183,-12.423,0.353,-2.742,-9.658,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.839,16.135,2.267,918.285,28.218,821.983,0.022,10.042,-0.194,0.208,0.053,-0.096,0.151,4220.000,-1262.000,-13922.000,0.081,-0.695,0.100,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,-0.088,9.830,-0.157,0.000,0.000,0.000,0.000,0.000
29.066,0,0,0.742,-4.943,-8.021,0.807,-5.195,-12.414,0.362,-2.725,-9.603,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.242,16.364,2.288,918.286,28.215,821.976,0.017,9.984,-0.172,0.223,0.021,-0.062,-0.096,4210.000,-1287.000,-13919.000,0.085,-0.695,0.098,0.707,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,-0.088,9.830,-0.157,0.000,0.000,0.000,0.000,0.000
29.167,0,0,0.746,-4.955,-8.017,0.789,-5.208,-12.401,0.209,-2.732,-9.537,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.084,16.596,2.315,918.288,28.222,821.956,-0.003,9.920,-0.237,0.115,-0.036,-0.023,-0.107,4209.000,-1285.000,-13875.000,0.084,-0.697,0.096,0.706,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.610,91871.383,27.344,0.000,0.000,-0.147,9.751,-0.147,-0.001,0.000,-0.000,0.000,0.000
29.268,0,0,0.748,-4.967,-8.009,0.793,-5.233,-12.390,0.433,-2.859,-9.574,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.806,16.830,2.339,918.285,28.212,821.979,0.024,9.991,-0.330,0.302,0.011,-0.009,0.060,4185.000,-1269.000,-13946.000,0.080,-0.695,0.101,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.610,91871.383,27.344,0.000,0.000,-0.147,9.751,-0.147,-0.001,0.000,-0.000,0.000,0.000
29.369,0,0,0.750,-4.980,-8.002,0.797,-5.241,-12.386,0.433,-2.695,-9.630,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.243,17.065,2.356,918.286,28.215,821.976,0.021,10.006,-0.151,0.244,0.011,0.032,-0.053,4192.000,-1257.000,-13903.000,0.083,-0.693,0.098,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,0.078,9.771,-0.108,0.000,0.000,0.001,0.000,0.000
29.470,0,0,0.752,-4.993,-7.996,0.778,-5.249,-12.367,0.212,-2.706,-9.475,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.413,17.304,2.390,918.287,28.220,821.965,0.012,9.855,-0.129,0.122,0.075,-0.058,0.128,4192.000,-1273.000,-13913.000,0.085,-0.696,0.102,0.705,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,0.078,9.771,-0.108,0.000,0.000,0.001,0.000,0.000
29.571,0,0,0.755,-5.005,-7.987,0.829,-5.258,-12.362,0.900,-2.722,-9.612,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.902,17.545,2.410,918.285,28.220,821.981,0.030,10.013,-0.165,0.567,-0.070,0.055,-0.079,4169.000,-1264.000,-14017.000,0.084,-0.688,0.098,0.714,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.914,91861.242,27.350,0.000,0.000,-0.196,9.633,-0.353,0.001,0.000,-0.001,0.000,0.000
29.672,0,0,0.760,-5.016,-7.981,0.831,-5.260,-12.369,0.420,-2.658,-9.721,0.000,0.000,0.0116870,0.000,9144.000,0.017,2.228,17.787,2.419,918.285,28.223,821.979,0.026,10.085,-0.050,0.208,0.032,-0.075,0.113,4146.000,-1304.000,-13917.000,0.085,-0.693,0.099,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.914,91861.242,27.350,0.000,0.000,-0.196,9.633,-0.353,0.001,0.000,-0.001,0.000,0.000
29.773,0,0,0.764,-5.027,-7.975,0.822,-5.272,-12.358,0.319,-2.762,-9.541,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.494,18.032,2.446,918.285,28.223,821.979,0.025,9.934,-0.223,0.151,-0.023,0.055,0.015,4206.000,-1243.000,-13913.000,0.083,-0.694,0.099,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.914,91861.242,27.350,0.000,0.000,-0.196,9.633,-0.353,0.001,0.000,-0.001,0.000,0.000
29.874,0,0,0.768,-5.039,-7.970,0.821,-5.283,-12.352,0.385,-2.762,-9.563,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.339,18.279,2.470,918.286,28.218,821.974,0.016,9.955,-0.266,0.223,-0.053,0.047,0.102,4209.000,-1272.000,-13929.000,0.078,-0.694,0.100,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,-0.128,9.741,-0.098,-0.001,0.000,0.000,0.000,0.000
29.975,0,0,0.770,-5.049,-7.966,0.811,-5.281,-12.351,0.307,-2.630,-9.614,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.441,18.528,2.490,918.286,28.214,821.978,0.016,9.970,-0.115,0.194,0.015,-0.128,-0.098,4227.000,-1250.000,-13900.000,0.084,-0.696,0.096,0.706,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.305,91871.383,27.350,0.000,0.000,-0.128,9.741,-0.098,-0.001,0.000,0.000,0.000,0.000
30.076,0,0,0.772,-5.058,-7.960,0.805,-5.268,-12.353,0.347,-2.537,-9.652,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.912,18.778,2.506,918.284,28.220,821.989,0.026,9.984,-0.072,0.180,-0.055,0.058,-0.036,4178.000,-1250.000,-13883.000,0.084,-0.695,0.092,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.914,91881.508,27.356,0.000,0.000,-0.177,9.810,-0.275,0.000,0.001,-0.000,0.000,0.000
30.177,0,0,0.773,-5.065,-7.955,0.805,-5.270,-12.351,0.411,-2.679,-9.608,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.134,19.031,2.526,918.284,28.214,821.994,0.031,9.977,-0.208,0.273,0.004,-0.062,0.134,4199.000,-1247.000,-13911.000,0.080,-0.695,0.097,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.914,91881.508,27.356,0.000,0.000,-0.177,9.810,-0.275,0.000,0.001,-0.000,0.000,0.000
30.278,0,0,0.774,-5.072,-7.956,0.792,-5.272,-12.352,0.279,-2.694,-9.591,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.174,19.286,2.548,918.288,28.220,821.957,-0.010,9.963,-0.215,0.158,0.017,-0.006,-0.060,4213.000,-1242.000,-13887.000,0.081,-0.696,0.096,0.707,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.914,91881.508,27.356,0.000,0.000,-0.108,9.781,-0.118,0.000,0.000,0.000,0.000,0.000
30.379,0,0,0.773,-5.079,-7.953,0.784,-5.276,-12.348,0.320,-2.709,-9.572,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.024,19.543,2.572,918.284,28.222,821.988,0.019,9.948,-0.215,0.223,0.017,-0.094,-0.030,4189.000,-1237.000,-13928.000,0.082,-0.697,0.097,0.706,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.914,91881.508,27.356,0.000,0.000,-0.108,9.781,-0.118,0.000,0.000,0.000,0.000,0.000
30.480,0,0,0.772,-5.085,-7.955,0.771,-5.268,-12.350,0.285,-2.592,-9.596,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.885,19.802,2.593,918.288,28.220,821.957,-0.014,9.941,-0.165,0.194,-0.070,-0.051,0.043,4217.000,-1218.000,-13980.000,0.079,-0.697,0.095,0.706,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.356,0.000,0.000,-0.137,9.761,-0.147,0.000,0.000,0.000,0.000,0.000
30.581,0,0,0.770,-5.089,-7.957,0.774,-5.261,-12.362,0.436,-2.604,-9.701,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.851,20.062,2.604,918.288,28.227,821.959,-0.015,10.049,-0.180,0.266,-0.030,0.023,-0.064,4201.000,-1283.000,-13943.000,0.079,-0.695,0.092,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.356,0.000,0.000,-0.137,9.761,-0.147,0.000,0.000,0.000,0.000,0.000
30.682,0,0,0.779,-5.086,-7.966,0.991,-5.120,-12.492,2.557,-1.283,-10.873,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.248,20.312,2.497,918.288,28.227,821.959,-0.015,10.997,1.408,1.868,0.053,-0.023,-0.100,4212.000,-1243.000,-13987.000,0.096,-0.679,0.080,0.723,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.344,0.000,0.000,-0.059,9.722,-0.108,-0.000,-0.000,0.000,0.000,0.000
30.783,0,0,0.799,-5.078,-7.983,1.061,-5.121,-12.565,1.111,-2.676,-10.317,0.000,0.000,0.0116870,0.000,9144.000,0.017,3.401,20.557,2.447,918.288,28.226,821.952,-0.024,10.702,0.007,0.546,0.058,-0.087,0.006,4216.000,-1264.000,-13946.000,0.093,-0.683,0.087,0.720,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.344,0.000,0.000,-0.059,9.722,-0.108,-0.000,-0.000,0.000,0.000,0.000
30.884,0,0,0.821,-5.071,-7.997,1.048,-5.150,-12.581,0.298,-2.957,-9.808,0.000,0.000,0.0116870,0.000,9144.000,0.017,2.906,20.801,2.447,918.285,28.228,821.983,0.008,10.243,-0.352,0.043,0.043,0.011,-0.060,4207.000,-1302.000,-13997.000,0.087,-0.692,0.095,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.344,0.000,0.000,-0.059,9.722,-0.108,-0.000,-0.000,0.000,0.000,0.000
30.985,0,0,0.839,-5.067,-8.009,1.026,-5.157,-12.557,0.223,-2.739,-9.430,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.602,21.050,2.485,918.285,28.225,821.985,0.010,9.819,-0.215,0.115,0.023,-0.096,-0.034,4200.000,-1286.000,-13914.000,0.087,-0.696,0.097,0.706,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.314,10.006,-0.481,0.002,0.000,0.002,0.000,0.000
31.086,0,0,0.852,-5.064,-8.019,0.992,-5.176,-12.552,0.116,-2.847,-9.618,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.862,21.300,2.504,918.286,28.219,821.974,-0.001,10.027,-0.273,0.057,0.000,0.032,0.002,4216.000,-1292.000,-13921.000,0.084,-0.698,0.099,0.704,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.314,10.006,-0.481,0.002,0.000,0.002,0.000,0.000
31.187,0,0,0.863,-5.063,-8.025,0.997,-5.200,-12.528,0.506,-2.905,-9.461,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.687,21.554,2.539,918.284,28.221,821.996,0.017,9.898,-0.345,0.338,0.011,0.092,0.098,4201.000,-1283.000,-14002.000,0.080,-0.693,0.105,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.255,9.692,-0.294,0.001,0.000,-0.001,0.000,0.000
31.288,0,0,0.873,-5.064,-8.029,0.983,-5.195,-12.531,0.315,-2.613,-9.722,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.583,21.809,2.548,918.284,28.225,821.992,0.015,10.070,-0.065,0.158,-0.064,0.036,0.151,4228.000,-1270.000,-13957.000,0.080,-0.694,0.101,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.255,9.692,-0.294,0.001,0.000,-0.001,0.000,0.000
31.389,0,0,0.881,-5.064,-8.036,0.984,-5.197,-12.533,0.479,-2.679,-9.701,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.337,22.065,2.559,918.287,28.228,821.967,-0.012,10.070,-0.136,0.287,-0.009,0.009,0.077,4192.000,-1273.000,-13982.000,0.080,-0.693,0.099,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.914,91861.242,27.356,0.000,0.000,-0.294,9.712,-0.128,-0.001,0.000,-0.001,0.000,0.000
31.490,0,0,0.889,-5.064,-8.038,0.995,-5.193,-12.530,0.570,-2.623,-9.683,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.510,22.322,2.571,918.283,28.237,821.999,0.021,10.042,-0.165,0.316,-0.083,0.089,0.113,4181.000,-1288.000,-13953.000,0.076,-0.691,0.098,0.712,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.914,91861.242,27.356,0.000,0.000,-0.294,9.712,-0.128,-0.001,0.000,-0.001,0.000,0.000
31.591,0,0,0.896,-5.064,-8.039,0.980,-5.190,-12.531,0.331,-2.638,-9.730,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.905,22.580,2.579,918.284,28.221,821.996,0.021,10.085,-0.144,0.158,0.030,-0.002,0.092,4208.000,-1270.000,-13951.000,0.078,-0.694,0.098,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.914,91861.242,27.356,0.000,0.000,-0.157,9.781,-0.137,-0.001,0.000,-0.001,0.000,0.000
31.692,0,0,0.901,-5.063,-8.035,0.979,-5.182,-12.508,0.466,-2.584,-9.528,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.398,22.841,2.608,918.280,28.220,822.029,0.055,9.876,-0.215,0.287,-0.079,-0.038,-0.021,4180.000,-1258.000,-13935.000,0.076,-0.694,0.094,0.710,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.914,91861.242,27.356,0.000,0.000,-0.157,9.781,-0.137,-0.001,0.000,-0.001,0.000,0.000
31.793,0,0,0.907,-5.061,-8.030,0.983,-5.161,-12.515,0.513,-2.448,-9.819,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.417,23.102,2.607,918.280,28.222,822.027,0.056,10.128,-0.136,0.273,-0.117,0.040,-0.094,4227.000,-1274.000,-13867.000,0.075,-0.693,0.087,0.712,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.088,9.751,-0.284,0.000,0.000,0.000,0.000,0.000
31.894,0,0,0.911,-5.057,-8.025,0.983,-5.128,-12.520,0.478,-2.335,-9.812,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.590,23.362,2.607,918.279,28.224,822.041,0.070,10.092,-0.165,0.266,-0.138,-0.019,0.064,4192.000,-1274.000,-13919.000,0.069,-0.694,0.084,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.350,0.000,0.000,-0.088,9.751,-0.284,0.000,0.000,0.000,0.000,0.000
31.995,0,0,0.915,-5.051,-8.019,0.969,-5.101,-12.515,0.339,-2.386,-9.711,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.488,23.624,2.617,918.278,28.225,822.048,0.076,9.999,-0.330,0.172,-0.092,0.047,0.030,4191.000,-1283.000,-13893.000,0.063,-0.696,0.084,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.356,0.000,0.000,-0.284,9.712,-0.118,-0.001,0.000,-0.001,0.000,0.000
32.096,0,0,0.917,-5.041,-8.016,0.955,-5.041,-12.521,0.350,-2.059,-9.795,0.000,0.000,0.0116870,0.000,9144.000,0.017,1.367,23.886,2.618,918.279,28.223,822.035,0.064,10.013,-0.043,0.215,-0.049,-0.119,-0.034,4194.000,-1248.000,-13897.000,0.066,-0.698,0.077,0.709,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.356,0.000,0.000,-0.284,9.712,-0.118,-0.001,0.000,-0.001,0.000,0.000
32.197,0,0,0.919,-5.027,-8.016,0.961,-5.003,-12.520,0.538,-2.267,-9.716,0.000,0.000,0.0116870,0.000,9144.000,0.017,0.954,24.148,2.627,918.281,28.235,822.017,0.046,9.984,-0.215,0.302,0.045,0.096,-0.013,4197.000,-1238.000,-13904.000,0.066,-0.694,0.080,0.713,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.356,0.000,0.000,-0.284,9.712,-0.118,-0.001,0.000,-0.001,0.000,0.000
32.298,0,0,0.920,-5.011,-8.013,0.955,-4.958,-12.519,0.430,-2.196,-9.734,0.000,0.000,0.0116870,0.000,9144.000,0.016,1.619,24.412,2.635,918.278,28.226,822.047,0.073,9.984,-0.079,0.251,0.064,-0.104,0.038,4196.000,-1267.000,-13998.000,0.069,-0.696,0.081,0.710,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.361,0.000,0.000,-0.216,9.820,-0.255,0.000,0.000,-0.000,0.000,0.000
